wall_time,cam_index,decoder_ms,dropped
15:48:12.515,1,2.7763,0
15:48:12.531,0,3.4549,0
15:48:12.547,1,2.9439,0
15:48:12.573,0,3.0678,0
15:48:12.596,1,3.9828,0
15:48:12.603,0,3.4937,0
15:48:12.649,1,3.3652,0
15:48:12.653,0,3.6815,0
15:48:12.675,1,2.6495,0
15:48:12.691,0,3.4023,0
15:48:12.710,1,3.5209,0
15:48:12.731,0,3.7171,0
15:48:12.761,1,3.7137,0
15:48:12.773,0,3.1550,0
15:48:12.792,1,3.7227,0
15:48:12.821,0,2.7616,0
15:48:12.836,1,4.2714,0
15:48:12.849,0,3.4226,0
15:48:12.875,1,3.5079,0
15:48:12.891,0,3.4767,0
15:48:12.905,1,3.1542,0
15:48:12.934,0,3.4488,0
15:48:12.952,1,3.3243,0
15:48:12.981,0,3.4741,0
15:48:12.992,1,3.2719,0
15:48:13.003,0,2.9180,0
15:48:13.043,1,3.4091,0
15:48:13.054,0,2.8200,0
15:48:13.073,1,3.0160,0
15:48:13.106,1,3.5003,0
15:48:13.198,1,3.2406,0
15:48:13.204,1,5.3836,0
15:48:13.211,0,18.2281,0
15:48:13.215,0,3.1657,0
15:48:13.219,0,3.8535,0
15:48:13.235,0,3.6543,0
15:48:13.241,1,3.5871,0
15:48:13.247,0,4.9059,0
15:48:13.275,1,3.2878,0
15:48:13.289,0,3.8315,0
15:48:13.307,1,3.6234,0
15:48:13.330,0,3.2708,0
15:48:13.348,1,3.9567,0
15:48:13.372,0,3.8257,0
15:48:13.394,1,3.7303,0
15:48:13.422,0,3.9006,0
15:48:13.440,1,3.9052,0
15:48:13.449,0,3.4001,0
15:48:13.474,1,3.0447,0
15:48:13.486,0,3.5427,0
15:48:13.510,1,3.2504,0
15:48:13.531,0,3.3468,0
15:48:13.555,1,4.0350,0
15:48:13.625,1,3.7408,0
15:48:13.625,0,3.9450,0
15:48:13.632,0,6.1509,0
15:48:13.637,1,5.0599,0
15:48:13.643,0,2.7653,0
15:48:13.679,1,3.4303,0
15:48:13.689,0,3.4038,0
15:48:13.713,1,4.0826,0
15:48:13.734,0,2.6457,0
15:48:13.752,1,3.2267,0
15:48:13.781,0,3.4204,0
15:48:13.793,1,3.0882,0
15:48:13.814,0,3.0005,0
15:48:13.840,1,3.7174,0
15:48:13.846,0,2.8830,0
15:48:13.871,1,3.4514,0
15:48:13.889,0,3.2070,0
15:48:13.910,1,3.6591,0
15:48:13.938,0,3.1057,0
15:48:13.953,1,2.9646,0
15:48:13.975,0,3.7547,0
15:48:14.000,1,3.1492,0
15:48:14.005,0,3.6528,0
15:48:14.027,1,3.1725,0
15:48:14.030,2,4.6654,46
15:48:14.049,0,3.3336,0
15:48:14.315,2,18.4039,0
15:48:14.319,2,3.4740,0
15:48:14.326,2,5.5140,0
15:48:14.338,0,22.1142,0
15:48:14.342,0,3.3717,0
15:48:14.344,1,28.6369,0
15:48:14.347,2,5.9589,0
15:48:14.347,0,5.5519,0
15:48:14.351,1,5.5462,0
15:48:14.353,0,5.8129,0
15:48:14.356,1,4.6304,0
15:48:14.359,0,5.2370,0
15:48:14.362,2,4.4811,0
15:48:14.362,1,5.1719,0
15:48:14.369,0,5.8799,0
15:48:14.369,1,5.9348,0
15:48:14.386,1,3.0232,0
15:48:14.391,2,3.5573,0
15:48:14.409,0,2.9216,0
15:48:14.441,1,4.4692,0
15:48:14.441,2,4.4561,0
15:48:14.456,0,2.8753,0
15:48:14.474,1,3.9843,0
15:48:14.474,2,4.3446,0
15:48:14.492,0,3.6184,0
15:48:14.515,2,3.6359,0
15:48:14.516,1,4.5835,0
15:48:14.558,0,3.1289,0
15:48:14.560,1,3.4486,0
15:48:14.561,2,3.5660,0
15:48:14.567,0,5.6294,0
15:48:14.590,2,3.0886,0
15:48:14.591,1,3.8326,0
15:48:14.608,0,3.2845,0
15:48:14.634,1,4.3217,0
15:48:14.636,2,3.0378,0
15:48:14.653,0,3.1793,0
15:48:14.675,1,3.4938,0
15:48:14.680,2,3.8034,0
15:48:14.701,0,3.2840,0
15:48:14.707,2,3.6534,0
15:48:14.715,1,3.7595,0
15:48:14.739,0,3.6410,0
15:48:14.765,1,3.1691,0
15:48:14.769,0,2.9656,0
15:48:14.772,2,6.0843,0
15:48:14.796,1,3.3283,0
15:48:14.797,2,3.2361,0
15:48:14.820,0,2.9037,0
15:48:14.835,2,3.2835,0
15:48:14.835,1,3.3455,0
15:48:14.850,0,3.2155,0
15:48:14.902,0,3.1729,0
15:48:14.902,2,3.2980,0
15:48:14.902,1,3.3336,0
15:48:14.909,1,6.7014,0
15:48:14.910,2,6.7640,0
15:48:14.933,0,3.0143,0
15:48:14.981,0,3.4869,0
15:48:14.981,1,3.7918,0
15:48:14.982,2,4.0346,0
15:48:14.998,1,3.7279,0
15:48:14.998,2,4.0067,0
15:48:15.009,0,3.0269,0
15:48:15.037,2,3.6092,0
15:48:15.037,1,3.4996,0
15:48:15.051,0,3.4893,0
15:48:15.080,1,3.7850,0
15:48:15.080,2,4.0883,0
15:48:15.115,2,3.2315,0
15:48:15.115,1,3.6175,0
15:48:15.163,1,4.0043,0
15:48:15.165,2,4.4990,0
15:48:15.168,0,15.3461,0
15:48:15.172,0,3.1062,0
15:48:15.188,0,4.2431,0
15:48:15.198,1,3.0777,0
15:48:15.198,2,3.1968,0
15:48:15.206,0,3.9931,0
15:48:15.227,1,3.2737,0
15:48:15.253,2,3.0906,0
15:48:15.258,0,4.5923,0
15:48:15.273,1,3.4443,0
15:48:15.276,2,3.2431,0
15:48:15.292,0,3.0895,0
15:48:15.313,1,2.7585,0
15:48:15.316,2,3.6132,0
15:48:15.335,0,3.8396,0
15:48:15.370,1,3.0828,0
15:48:15.370,2,3.0378,0
15:48:15.376,0,5.5033,0
15:48:15.391,1,3.4934,0
15:48:15.391,2,3.6127,0
15:48:15.418,0,2.7909,0
15:48:15.435,1,3.3109,0
15:48:15.437,2,4.0343,0
15:48:15.452,0,3.5975,0
15:48:15.481,2,3.9077,0
15:48:15.481,1,3.9420,0
15:48:15.493,0,3.2965,0
15:48:15.545,0,3.2255,0
15:48:15.545,1,3.7034,0
15:48:15.546,2,4.4377,0
15:48:15.554,2,5.7680,0
15:48:15.559,1,4.6533,0
15:48:15.567,0,2.9806,0
15:48:15.607,1,3.2590,0
15:48:15.609,2,3.2167,0
15:48:15.615,0,3.6489,0
15:48:15.630,1,3.0446,0
15:48:15.634,2,3.3753,0
15:48:15.656,0,2.9090,0
15:48:15.680,2,2.8186,0
15:48:15.680,1,2.8793,0
15:48:15.716,0,3.8731,0
15:48:15.717,2,4.3013,0
15:48:15.727,0,3.2517,0
15:48:15.728,1,3.4452,0
15:48:15.767,1,3.1361,0
15:48:15.768,2,3.4012,0
15:48:15.774,0,5.5659,0
15:48:15.788,1,3.4625,0
15:48:15.793,2,3.0540,0
15:48:15.824,0,3.4742,0
15:48:15.831,1,3.0681,0
15:48:15.838,2,3.1841,0
15:48:15.856,0,3.6932,0
15:48:15.888,2,3.2413,0
15:48:15.888,1,3.2524,0
15:48:15.893,0,4.9743,0
15:48:15.918,1,3.2738,0
15:48:15.918,2,3.5409,0
15:48:15.939,0,3.6833,0
15:48:15.957,1,4.0069,0
15:48:15.957,2,4.0214,0
15:48:15.973,0,2.7393,0
15:48:15.995,2,3.1377,0
15:48:15.995,1,3.0323,0
15:48:16.014,0,3.6346,0
15:48:16.029,2,3.1365,0
15:48:16.032,1,3.9299,0
15:48:16.048,0,4.0697,0
15:48:16.261,2,16.1629,0
15:48:16.265,2,3.7075,0
15:48:16.268,0,16.3344,0
15:48:16.270,2,4.7192,0
15:48:16.276,0,2.8156,0
15:48:16.282,0,3.7784,0
15:48:16.285,2,4.6915,0
15:48:16.289,0,3.0746,0
15:48:16.292,2,3.9022,0
15:48:16.295,0,5.6291,0
15:48:16.298,2,5.3185,0
15:48:16.300,0,4.5540,0
15:48:16.303,1,18.7043,0
15:48:16.306,1,2.9337,0
15:48:16.311,1,5.2387,0
15:48:16.317,1,4.7673,0
15:48:16.334,0,3.8116,0
15:48:16.334,2,4.0654,0
15:48:16.348,1,3.2391,0
15:48:16.354,2,2.9770,0
15:48:16.387,0,3.5587,0
15:48:16.396,1,3.3296,0
15:48:16.401,2,4.0523,0
15:48:16.413,0,3.6678,0
15:48:16.449,2,2.9720,0
15:48:16.449,1,3.0789,0
15:48:16.454,0,3.9560,0
15:48:16.466,1,2.9814,0
15:48:16.471,2,3.0098,0
15:48:16.485,0,3.0543,0
15:48:16.514,1,2.9866,0
15:48:16.515,2,3.0636,0
15:48:16.535,0,2.6564,0
15:48:16.554,1,3.1105,0
15:48:16.572,0,3.6469,0
15:48:16.573,2,4.3351,0
15:48:16.594,2,7.9462,0
15:48:16.605,1,11.9455,0
15:48:16.622,0,3.7538,0
15:48:16.631,1,6.7241,0
15:48:16.637,2,5.1374,0
15:48:16.646,0,3.6831,0
15:48:16.672,1,3.2696,0
15:48:16.675,2,3.5085,0
15:48:16.689,0,3.2871,0
15:48:16.725,1,3.3159,0
15:48:16.730,2,5.7583,0
15:48:16.733,0,4.4766,0
15:48:16.758,1,4.0282,0
15:48:16.758,2,4.0741,0
15:48:16.775,0,3.3547,0
15:48:16.811,1,3.7544,0
15:48:16.811,2,3.9751,0
15:48:16.816,0,3.4419,0
15:48:16.831,1,3.7416,0
15:48:16.834,2,4.1480,0
15:48:16.845,0,3.1372,0
15:48:16.878,1,3.0496,0
15:48:16.881,2,5.0601,0
15:48:16.888,0,3.3213,0
15:48:16.935,1,3.9748,0
15:48:16.935,2,3.8634,0
15:48:16.939,0,5.7321,0
15:48:16.947,1,3.6973,0
15:48:16.950,2,3.7220,0
15:48:16.977,0,2.9500,0
15:48:17.011,1,3.4884,0
15:48:17.015,2,3.0969,0
15:48:17.018,0,5.3787,0
15:48:17.035,1,3.5849,0
15:48:17.037,2,5.9949,0
15:48:17.048,0,3.7802,0
15:48:17.078,1,4.3524,0
15:48:17.078,2,4.3832,0
15:48:17.108,2,3.8530,0
15:48:17.109,1,4.4119,0
15:48:17.184,1,3.5131,0
15:48:17.187,2,4.7990,0
15:48:17.198,1,4.1018,0
15:48:17.198,2,4.3902,0
15:48:17.198,0,17.4413,0
15:48:17.203,0,4.4174,0
15:48:17.207,0,4.3357,0
15:48:17.216,0,3.4242,0
15:48:17.240,2,4.0162,0
15:48:17.240,1,4.5324,0
15:48:17.249,0,3.8418,0
15:48:17.270,1,4.1461,0
