wall_time,cam_index,rtp_seq,network_ms
15:15:59.009,0,25862,8110.0776
15:15:59.026,1,9722,18111.5577
15:15:59.050,2,32057,16223.2472
15:15:59.055,0,25871,8120.3617
15:15:59.068,1,9737,18114.8137
15:15:59.075,2,32071,16167.7071
15:15:59.109,0,25879,8138.1251
15:15:59.117,1,9751,18128.6176
15:15:59.117,2,32084,16191.8981
15:15:59.138,0,25888,8124.4945
15:15:59.142,1,9766,18126.1078
15:15:59.164,2,32096,16203.6235
15:15:59.169,0,25897,8095.9902
15:15:59.188,1,9779,18122.8777
15:15:59.192,2,32109,16203.5938
15:15:59.214,0,25905,8119.5097
15:15:59.238,1,9794,18128.1706
15:15:59.241,2,32123,16215.7403
15:15:59.255,0,25913,8119.6931
15:15:59.265,2,32137,16185.6319
15:15:59.270,1,9809,18114.3581
15:15:59.305,0,25921,8131.6471
15:15:59.306,1,9823,18129.8232
15:15:59.310,2,32148,16202.1031
15:15:59.340,0,25929,8115.1986
15:15:59.357,1,9839,18132.5892
15:15:59.360,2,32162,16210.9791
15:15:59.370,0,25937,8111.0960
15:15:59.394,1,9853,18128.9837
15:15:59.394,2,32172,16199.0187
15:15:59.416,0,25946,8124.8725
15:15:59.430,1,9865,18125.5371
15:15:59.434,2,32186,16196.4259
15:15:59.600,0,25955,8259.7903
15:15:59.673,0,25962,8281.8397
15:15:59.678,1,9878,18341.3622
15:15:59.694,1,9893,18312.5011
15:15:59.698,0,25971,8284.6729
15:15:59.699,1,9906,18275.8772
15:15:59.705,2,32197,16437.9565
15:15:59.709,0,26135,8164.9453
15:15:59.711,1,10109,18004.2574
15:15:59.714,0,26146,8152.9419
15:15:59.720,1,10145,18012.5133
15:15:59.722,0,26155,8087.2766
15:15:59.723,2,32211,16409.8229
15:15:59.728,0,26165,8083.6372
15:15:59.728,2,32224,16374.7452
15:15:59.728,1,10159,18018.4678
15:15:59.735,0,26174,8077.9238
15:15:59.738,2,32236,16352.8293
15:15:59.738,1,10173,18018.6018
15:15:59.758,1,10186,18035.0675
15:15:59.758,2,32249,16323.6107
15:15:59.776,0,26184,8113.6520
15:15:59.789,1,10197,18053.7551
15:15:59.806,2,32451,16105.0079
15:15:59.816,0,26193,8110.1273
15:15:59.829,1,10210,18019.6764
15:15:59.834,2,32498,16131.2516
15:15:59.860,0,26201,8134.8309
15:15:59.869,2,32511,16163.3195
15:15:59.872,1,10222,18044.6288
15:15:59.890,0,26209,8117.4687
15:15:59.920,1,10234,18054.2273
15:15:59.920,2,32523,16212.5653
15:15:59.933,0,26217,8080.3994
15:15:59.949,1,10246,18046.5550
15:15:59.971,2,32536,16219.3760
15:15:59.977,0,26225,8120.7597
15:15:59.990,1,10260,18040.4221
15:15:59.994,2,32547,16193.3446
15:16:00.031,0,26235,8127.2493
15:16:00.037,2,32561,16205.6116
15:16:00.038,1,10274,18051.4521
15:16:00.058,0,26243,8127.9338
15:16:00.066,1,10285,18026.7496
15:16:00.081,2,32573,16220.7085
15:16:00.090,0,26252,8091.8839
15:16:00.111,1,10300,18045.7319
15:16:00.111,2,32584,16204.0312
15:16:00.133,0,26260,8114.5713
15:16:00.179,1,10313,18076.1430
15:16:00.182,2,32595,16225.4527
15:16:00.182,0,26269,8125.4215
15:16:00.188,2,32606,16200.5897
15:16:00.191,1,10326,18043.4543
15:16:00.227,0,26278,8139.8054
15:16:00.231,1,10340,18025.0681
15:16:00.231,2,32617,16186.2189
15:16:00.258,0,26286,8127.2218
