wall_time,cam_index,decoder_ms
15:16:03.404,1,5.8633
15:16:03.423,0,11009.3344
15:16:03.429,2,3700.9251
15:16:03.455,1,4.1713
15:16:03.653,0,11088.6107
15:16:03.656,0,11072.5267
15:16:03.698,0,11111.7673
15:16:03.703,0,11083.8566
15:16:03.709,0,11047.5622
15:16:03.738,0,11044.2166
15:16:03.743,0,11006.8060
15:16:03.749,0,10976.1969
15:16:03.752,2,4013.6808
15:16:03.755,2,3997.1412
15:16:03.761,2,3954.6657
15:16:03.767,2,3933.1892
15:16:03.781,0,10939.8183
15:16:03.790,2,3920.9768
15:16:03.841,0,10988.1840
15:16:03.850,2,3929.8349
15:16:03.853,0,10946.0257
15:16:03.901,2,3929.9613
15:16:03.903,0,10975.0326
15:16:03.920,2,3925.7397
15:16:03.959,0,10987.9373
15:16:03.960,2,3922.8421
15:16:03.987,0,10969.5691
15:16:03.996,2,3914.9552
15:16:04.022,0,10969.5415
15:16:04.038,2,3926.3939
15:16:04.055,0,10941.8477
15:16:04.097,2,3914.4170
15:16:04.108,0,10981.2657
15:16:04.131,2,3942.9752
15:16:04.141,0,10967.5688
15:16:04.159,2,3927.6294
15:16:04.187,0,10960.3583
15:16:04.192,2,3909.8249
15:16:04.245,0,10991.4475
15:16:04.246,2,3932.2145
15:16:04.253,0,10951.6522
15:16:04.301,2,3954.7956
15:16:04.309,0,10959.3461
15:16:04.322,2,3926.0962
15:16:04.353,0,10977.6822
15:16:04.361,2,3929.5846
15:16:04.380,0,10955.1864
15:16:04.412,2,3936.6403
15:16:04.422,0,10776.8582
15:16:04.438,2,3879.6582
15:16:04.478,2,3911.9235
15:16:04.543,2,3942.5829
15:16:04.568,0,10904.0501
15:16:04.583,0,10916.3020
15:16:04.588,0,10918.6195
15:16:04.591,2,3952.1289
15:16:04.601,0,10901.6604
15:16:04.602,2,3934.7687
15:16:04.663,0,10959.4176
15:16:04.683,0,10975.1314
15:16:04.683,2,3974.1377
15:16:04.690,2,3938.2653
15:16:04.700,0,10960.1752
15:16:04.730,2,3912.5170
15:16:04.745,0,10973.6925
15:16:04.752,2,3924.0749
15:16:04.787,0,10975.2730
15:16:04.801,2,3923.8633
15:16:04.814,0,10942.5669
15:16:04.837,2,3922.7268
15:16:04.857,0,10960.1016
15:16:04.901,2,3948.0072
15:16:04.904,0,10966.4138
15:16:04.914,2,3915.0933
15:16:04.943,0,10966.1864
15:16:04.955,2,3910.0124
15:16:05.012,0,10976.8232
15:16:05.013,2,3940.9520
15:16:05.018,0,10964.3178
15:16:05.050,2,3934.7760
15:16:05.060,0,10964.2227
15:16:05.122,2,3975.2558
15:16:05.122,0,10951.5831
15:16:05.130,2,3933.6501
15:16:05.172,0,10997.2103
15:16:05.175,2,3937.9709
15:16:05.185,0,10948.9231
15:16:05.199,2,3907.8409
15:16:05.233,0,10978.3940
15:16:05.253,2,3937.3999
15:16:05.272,0,10975.1313
15:16:05.277,2,3908.9676
15:16:05.322,0,10995.5913
15:16:05.328,2,3934.7668
15:16:05.338,0,10963.2569
15:16:05.360,2,3909.4884
15:16:05.405,0,10970.2449
15:16:05.408,2,3731.1453
15:16:05.420,0,10856.3373
15:16:05.428,1,1693.7989
15:16:05.435,2,3755.3098
15:16:05.645,0,11063.5214
15:16:05.662,2,3978.2344
15:16:05.672,0,11087.6909
15:16:05.673,2,3986.7546
15:16:05.680,2,3956.4086
15:16:05.683,0,11034.8758
15:16:05.687,2,3934.8899
15:16:05.690,0,11030.3998
15:16:05.693,2,3893.6669
15:16:05.696,0,10980.7378
15:16:05.698,1,1960.8990
15:16:05.701,0,10974.7841
15:16:05.704,1,1963.0041
15:16:05.710,1,1956.0610
15:16:05.718,1,1935.5789
15:16:05.721,2,3893.2869
15:16:05.745,0,10972.4593
15:16:05.758,1,1912.9306
15:16:05.760,2,3890.0057
