wall_time,cam_index,pipeline_ms
11:31:54.781,2,14069.1135
11:31:54.781,1,14069.4301
11:31:54.791,1,14069.3828
11:31:54.873,2,14152.4501
11:31:54.885,2,14157.7763
11:31:54.890,2,14150.6416
11:31:54.893,1,14164.5051
11:31:54.897,1,14157.5864
11:31:54.938,1,14114.1685
11:31:54.938,2,14114.0555
11:31:54.954,1,14110.5507
11:31:54.956,2,14046.4293
11:31:55.003,1,14096.7281
11:31:55.003,2,14078.2527
11:31:55.030,2,14072.4629
11:31:55.032,1,14116.7068
11:31:55.121,2,14160.1360
11:31:55.122,1,14162.9136
11:31:55.129,1,14151.3528
11:31:55.130,2,14106.7404
11:31:55.180,2,14153.2512
11:31:55.180,1,14156.9030
11:31:55.187,2,13967.5794
11:31:55.192,1,13972.5430
11:31:55.251,1,14025.8362
11:31:55.254,2,14028.9368
11:31:55.275,1,14041.9501
11:31:55.275,2,14043.4477
11:31:55.363,1,14124.0313
11:31:55.363,2,14125.0869
11:31:55.372,2,14056.6425
11:31:55.372,1,14057.5241
11:31:55.426,1,14103.2491
11:31:55.426,2,14103.1828
11:31:55.431,1,14101.7274
11:31:55.438,2,14109.3371
11:31:55.540,1,14162.4843
11:31:55.540,2,14162.6449
11:31:55.550,2,14164.6726
11:31:55.550,1,14165.1244
11:31:55.556,2,14068.3884
11:31:55.557,1,14069.4032
11:31:55.600,2,14108.8925
11:31:55.601,1,14105.6296
11:31:55.625,1,14123.7158
11:31:55.714,2,14171.0258
11:31:55.717,1,14165.4075
11:31:55.721,2,14168.9003
11:31:55.724,1,13997.6575
11:31:55.727,2,13999.4941
11:31:55.770,1,14038.3676
11:31:55.772,2,14040.8837
11:31:55.788,1,14048.2633
11:31:55.795,2,14055.6784
11:31:55.843,2,14097.5006
11:31:55.843,1,14097.4387
11:31:55.873,1,14036.8790
11:31:55.956,1,14114.8902
11:31:55.956,2,14201.2924
11:31:55.963,2,14127.3247
11:31:55.966,1,14071.7967
11:31:55.969,2,14128.0936
11:31:56.015,1,14115.0671
11:31:56.016,2,14121.0245
11:31:56.035,1,13998.5895
11:31:56.037,2,14132.5990
11:31:56.136,2,14099.9071
11:31:56.137,1,14021.0564
11:31:56.146,2,14106.3270
11:31:56.146,1,14025.4574
