wall_time,cam,rtp_seq,pipeline_ms
12:57:45.380,1,26587,0.290
12:57:45.383,0,35190,42.318
12:57:45.413,2,12017,0.313
12:57:45.415,0,35200,32.111
12:57:45.422,1,26600,0.262
12:57:45.454,1,26612,0.232
12:57:45.456,2,12029,0.639
12:57:45.459,0,35211,44.672
12:57:45.486,2,12039,0.280
12:57:45.498,1,26624,0.208
12:57:45.501,0,35221,42.807
12:57:45.531,2,12052,0.510
12:57:45.539,1,26635,0.251
12:57:45.543,0,35232,42.165
12:57:45.574,2,12065,0.541
12:57:45.575,0,35243,32.019
12:57:45.583,1,26647,0.362
12:57:45.615,2,12078,0.332
12:57:45.617,1,26659,0.281
12:57:45.620,0,35253,45.755
12:57:45.646,2,12089,0.257
12:57:45.659,1,26670,0.409
12:57:45.661,0,35263,41.100
12:57:45.692,2,12103,0.286
12:57:45.700,1,26681,0.551
12:57:45.718,0,35359,57.513
12:57:45.733,2,12117,0.209
12:57:45.743,1,26694,0.642
12:57:45.745,0,35370,27.850
12:57:45.774,2,12129,0.293
12:57:45.775,1,26706,0.719
12:57:45.786,0,35383,41.353
12:57:45.806,2,12140,0.139
12:57:45.817,0,35395,31.599
12:57:45.820,1,26719,0.679
12:57:45.851,2,12151,0.308
12:57:45.860,0,35405,43.344
12:57:45.860,1,26730,0.488
12:57:45.893,2,12166,0.213
12:57:45.903,1,26743,0.824
12:57:45.903,0,35416,44.442
12:57:45.934,1,26756,0.329
12:57:45.935,2,12179,0.221
12:57:45.944,0,35427,40.832
12:57:45.967,2,12192,0.294
12:57:45.975,0,35439,31.424
12:57:45.979,1,26769,0.361
12:57:46.011,2,12203,0.483
12:57:46.019,0,35450,44.792
12:57:46.021,1,26784,0.796
12:57:46.053,2,12217,0.397
12:57:46.061,0,35461,42.176
12:57:46.064,1,26797,0.875
12:57:46.094,1,26810,0.572
12:57:46.096,2,12231,0.711
12:57:46.103,0,35472,42.385
12:57:46.127,2,12244,0.325
12:57:46.135,0,35484,32.391
12:57:46.140,1,26823,0.631
12:57:46.172,2,12257,0.196
12:57:46.180,0,35495,44.915
12:57:46.181,1,26838,0.251
12:57:46.213,2,12269,0.232
12:57:46.222,0,35506,42.324
12:57:46.223,1,26851,0.191
12:57:46.255,1,26864,1.009
12:57:46.256,2,12282,0.163
12:57:46.264,0,35516,42.642
12:57:46.287,2,12294,0.270
12:57:46.296,0,35528,32.516
12:57:46.300,1,26878,0.182
12:57:46.331,2,12307,0.254
12:57:46.341,1,26893,0.467
12:57:46.341,0,35538,46.057
12:57:46.373,2,12320,0.221
12:57:46.383,0,35547,41.751
12:57:46.384,1,26910,0.368
12:57:46.415,1,26924,0.245
12:57:46.415,2,12332,0.198
12:57:46.424,0,35559,42.022
12:57:46.447,2,12345,0.235
12:57:46.455,0,35571,32.165
12:57:46.460,1,26939,0.259
12:57:46.491,2,12358,0.240
12:57:46.500,0,35582,45.292
12:57:46.501,1,26953,0.289
12:57:46.533,2,12369,0.272
12:57:46.541,0,35593,41.389
12:57:46.543,1,26968,0.343
12:57:46.575,2,12383,0.219
12:57:46.577,1,26982,0.232
12:57:46.584,0,35604,42.785
12:57:46.607,2,12396,0.259
12:57:46.615,0,35616,32.228
12:57:46.620,1,26998,0.249
12:57:46.651,2,12409,0.248
12:57:46.660,0,35627,44.828
12:57:46.661,1,27015,0.242
12:57:46.724,1,27122,1.391
12:57:46.726,2,12522,1.153
12:57:46.734,0,35739,74.454
12:57:46.741,1,27134,0.896
12:57:46.746,2,12533,11.268
12:57:46.766,0,35750,33.056
12:57:46.777,2,12546,0.386
12:57:46.783,1,27146,0.516
12:57:46.784,0,35762,41.443
12:57:46.814,1,27158,0.464
12:57:46.819,2,12560,0.491
12:57:46.825,0,35772,40.925
12:57:46.852,2,12573,0.467
12:57:46.856,0,35784,31.920
12:57:46.859,1,27171,0.477
12:57:46.893,2,12585,0.365
12:57:46.901,0,35795,46.133
12:57:46.902,1,27183,0.425
12:57:46.934,2,12597,0.529
12:57:46.942,0,35806,41.332
12:57:46.943,1,27196,0.482
12:57:46.974,1,27207,0.413
12:57:46.976,2,12611,0.463
12:57:46.984,0,35817,41.873
12:57:47.007,2,12624,0.469
12:57:47.016,0,35829,32.775
12:57:47.019,1,27218,0.351
12:57:47.053,2,12636,0.483
12:57:47.060,1,27230,0.423
12:57:47.061,0,35840,45.497
12:57:47.094,2,12648,0.502
12:57:47.102,0,35851,41.159
12:57:47.103,1,27243,0.350
12:57:47.135,1,27257,0.388
12:57:47.136,2,12661,0.475
12:57:47.144,0,35862,42.450
12:57:47.167,2,12674,0.385
12:57:47.175,0,35873,31.743
12:57:47.179,1,27268,0.255
12:57:47.213,2,12688,0.422
12:57:47.220,0,35885,45.328
12:57:47.221,1,27280,0.311
12:57:47.254,2,12701,0.612
12:57:47.262,0,35894,41.629
12:57:47.263,1,27293,0.318
12:57:47.295,1,27305,0.352
12:57:47.296,2,12713,0.395
12:57:47.304,0,35905,42.720
12:57:47.327,2,12725,0.428
12:57:47.336,0,35916,31.963
12:57:47.339,1,27316,0.348
12:57:47.372,2,12738,0.598
12:57:47.380,0,35926,45.172
12:57:47.381,1,27329,0.485
