wall_time,cam,rtp_seq,pipeline_ms,total_ms
11:29:44.293,1,32462,0.297,0.297
11:29:44.295,2,32266,0.228,0.164
11:29:44.295,2,32267,0.228,0.177
11:29:44.295,2,32268,0.228,0.186
11:29:44.295,2,32269,0.228,0.196
11:29:44.295,2,32270,0.228,0.204
11:29:44.295,2,32271,0.228,0.211
11:29:44.295,2,32272,0.228,0.219
11:29:44.295,2,32273,0.228,0.227
11:29:44.295,2,32274,0.228,0.235
11:29:44.295,2,32275,0.228,0.242
11:29:44.295,2,32276,0.228,0.250
11:29:44.295,2,32277,0.258,0.258
11:29:44.318,0,31981,0.161,0.054
11:29:44.318,0,31982,0.161,0.072
11:29:44.318,0,31983,0.161,0.082
11:29:44.318,0,31984,0.161,0.092
11:29:44.318,0,31985,0.161,0.101
11:29:44.318,0,31986,0.161,0.110
11:29:44.318,0,31987,0.161,0.119
11:29:44.318,0,31988,0.161,0.127
11:29:44.318,0,31989,0.161,0.136
11:29:44.318,0,31990,0.145,0.145
11:29:44.327,2,32278,0.258,0.143
11:29:44.327,2,32279,0.258,0.157
11:29:44.327,2,32280,0.258,0.166
11:29:44.327,2,32281,0.258,0.175
11:29:44.327,2,32282,0.258,0.184
11:29:44.327,2,32283,0.258,0.192
11:29:44.327,2,32284,0.258,0.200
11:29:44.327,2,32285,0.258,0.208
11:29:44.327,2,32286,0.258,0.216
11:29:44.327,2,32287,0.258,0.224
11:29:44.327,2,32288,0.232,0.232
11:29:44.335,1,32463,0.297,0.183
11:29:44.335,1,32464,0.297,0.202
11:29:44.335,1,32465,0.297,0.216
11:29:44.335,1,32466,0.297,0.224
11:29:44.335,1,32467,0.297,0.232
11:29:44.335,1,32468,0.297,0.240
11:29:44.335,1,32469,0.297,0.248
11:29:44.335,1,32470,0.297,0.256
11:29:44.335,1,32471,0.297,0.264
11:29:44.335,1,32472,0.297,0.272
11:29:44.335,1,32473,0.297,0.280
11:29:44.335,1,32474,0.297,0.288
11:29:44.335,1,32475,0.297,0.296
11:29:44.335,1,32476,0.304,0.304
11:29:44.359,0,31991,0.145,0.053
11:29:44.359,0,31992,0.145,0.072
11:29:44.359,0,31993,0.145,0.083
11:29:44.359,0,31994,0.145,0.093
11:29:44.359,0,31995,0.145,0.102
11:29:44.359,0,31996,0.145,0.111
11:29:44.359,0,31997,0.145,0.120
11:29:44.359,0,31998,0.145,0.129
11:29:44.359,0,31999,0.138,0.138
11:29:44.372,2,32289,0.232,0.162
11:29:44.372,2,32290,0.232,0.185
11:29:44.372,2,32291,0.232,0.198
11:29:44.372,2,32292,0.232,0.210
11:29:44.372,2,32293,0.232,0.220
11:29:44.372,2,32294,0.232,0.231
11:29:44.372,2,32295,0.232,0.241
11:29:44.372,2,32296,0.232,0.251
11:29:44.372,2,32297,0.232,0.261
11:29:44.372,2,32298,0.232,0.271
11:29:44.372,2,32299,0.232,0.281
11:29:44.372,2,32300,0.291,0.291
11:29:44.377,1,32477,0.304,0.151
11:29:44.377,1,32478,0.304,0.170
11:29:44.377,1,32479,0.304,0.181
11:29:44.377,1,32480,0.304,0.190
11:29:44.377,1,32481,0.304,0.198
11:29:44.378,1,32482,0.304,0.206
11:29:44.378,1,32483,0.304,0.214
11:29:44.378,1,32484,0.304,0.222
11:29:44.378,1,32485,0.304,0.230
11:29:44.378,1,32486,0.304,0.238
11:29:44.378,1,32487,0.304,0.246
11:29:44.378,1,32488,0.304,0.253
11:29:44.378,1,32489,0.304,0.261
11:29:44.378,1,32490,0.304,0.269
11:29:44.378,1,32491,0.277,0.277
11:29:44.400,0,32000,0.138,0.067
11:29:44.400,0,32001,0.138,0.094
11:29:44.400,0,32002,0.138,0.111
11:29:44.400,0,32003,0.138,0.127
11:29:44.400,0,32004,0.138,0.142
11:29:44.400,0,32005,0.138,0.157
11:29:44.400,0,32006,0.138,0.181
11:29:44.400,0,32007,0.138,0.196
11:29:44.400,0,32008,0.138,0.211
11:29:44.400,0,32009,0.138,0.226
11:29:44.400,0,32010,0.241,0.241
11:29:44.409,1,32492,0.277,0.147
11:29:44.409,1,32493,0.277,0.167
11:29:44.409,1,32494,0.277,0.178
11:29:44.409,1,32495,0.277,0.187
11:29:44.409,1,32496,0.277,0.195
11:29:44.409,1,32497,0.277,0.203
11:29:44.409,1,32498,0.277,0.210
