wall_time,cam,rtp_seq,pipeline_ms
12:50:04.530,1,12247,42.238
12:50:04.554,2,21153,0.295
12:50:04.561,1,12261,31.981
12:50:04.568,0,18712,163.180
12:50:04.599,2,21166,0.152
12:50:04.606,1,12275,45.214
12:50:04.610,0,18722,160.850
12:50:04.640,2,21178,0.146
12:50:04.648,1,12286,42.108
12:50:04.652,0,18732,159.806
12:50:04.683,2,21190,0.145
12:50:04.690,1,12296,42.231
12:50:04.693,0,18742,169.065
12:50:04.714,2,21203,0.166
12:50:04.721,1,12307,31.736
12:50:04.724,0,18753,156.346
12:50:04.760,2,21215,0.159
12:50:04.765,1,12319,45.081
12:50:04.770,0,18764,159.902
12:50:04.800,2,21228,0.172
12:50:04.808,1,12333,43.178
12:50:04.810,0,18774,159.339
12:50:04.843,2,21241,0.193
12:50:04.849,1,12346,41.097
12:50:04.853,0,18784,160.729
12:50:04.874,2,21254,0.165
12:50:04.884,0,18795,160.380
12:50:04.890,1,12360,41.681
12:50:04.920,2,21266,0.201
12:50:04.921,1,12374,31.601
12:50:04.930,0,18806,160.307
12:50:04.961,2,21279,0.264
12:50:04.966,1,12385,44.572
12:50:04.971,0,18817,160.504
12:50:05.003,2,21292,0.311
12:50:05.008,1,12396,42.200
12:50:05.012,0,18826,159.980
12:50:05.034,2,21305,0.157
12:50:05.044,0,18835,159.882
12:50:05.050,1,12407,42.251
12:50:05.110,2,21430,1.300
12:50:05.113,1,12531,63.548
12:50:05.126,0,18969,196.631
12:50:05.150,2,21442,21.650
12:50:05.160,2,21455,0.332
12:50:05.162,1,12544,50.221
12:50:05.176,0,18990,206.104
12:50:05.178,1,12557,41.586
12:50:05.200,2,21469,0.208
12:50:05.209,1,12569,31.725
12:50:05.213,0,18999,200.528
12:50:05.241,2,21481,0.194
12:50:05.250,1,12582,41.043
12:50:05.254,0,19010,209.944
12:50:05.283,2,21493,0.281
12:50:05.284,0,19019,159.209
12:50:05.291,1,12596,40.983
12:50:05.314,2,21505,0.274
12:50:05.325,1,12609,34.205
12:50:05.329,0,19028,198.170
12:50:05.359,2,21518,0.236
12:50:05.367,1,12622,42.351
12:50:05.370,0,19036,198.264
12:50:05.401,2,21531,0.208
12:50:05.408,1,12633,41.122
12:50:05.413,0,19046,200.215
12:50:05.443,2,21544,0.345
12:50:05.445,0,19054,191.479
12:50:05.450,1,12646,42.095
12:50:05.475,2,21557,0.191
12:50:05.482,1,12659,32.025
12:50:05.489,0,19064,205.035
12:50:05.519,2,21569,0.682
12:50:05.528,1,12672,45.880
12:50:05.531,0,19074,202.432
12:50:05.561,2,21581,0.222
12:50:05.568,1,12684,40.910
12:50:05.573,0,19083,202.529
12:50:05.603,2,21596,0.333
12:50:05.605,0,19093,192.434
12:50:05.610,1,12694,41.448
12:50:05.635,2,21607,0.269
12:50:05.642,1,12707,32.129
12:50:05.650,0,19104,205.249
12:50:05.679,2,21620,0.211
12:50:05.686,1,12720,44.871
12:50:05.690,0,19113,201.511
12:50:05.721,2,21633,0.242
12:50:05.728,1,12733,42.138
12:50:05.733,0,19122,202.191
12:50:05.763,2,21645,0.221
12:50:05.764,0,19132,191.804
12:50:05.770,1,12746,42.335
12:50:05.794,2,21657,0.169
12:50:05.802,1,12759,31.277
12:50:05.809,0,19143,204.448
12:50:05.840,2,21669,0.223
12:50:05.848,1,12771,46.446
12:50:05.851,0,19153,201.047
12:50:05.881,2,21682,0.333
12:50:05.889,1,12782,41.164
12:50:05.893,0,19164,202.744
12:50:05.923,2,21694,0.210
12:50:05.925,0,19174,191.908
12:50:05.930,1,12793,41.935
12:50:05.955,2,21706,0.275
12:50:05.962,1,12804,32.304
12:50:05.969,0,19184,204.235
12:50:05.999,2,21719,0.278
12:50:06.008,1,12818,46.300
12:50:06.011,0,19195,201.649
12:50:06.041,2,21732,0.581
12:50:06.049,1,12831,40.954
12:50:06.053,0,19205,202.297
12:50:06.082,2,21745,0.410
12:50:06.091,1,12845,42.497
12:50:06.122,0,19334,228.826
12:50:06.122,1,12858,31.497
12:50:06.123,2,21756,0.155
12:50:06.151,0,19344,226.778
12:50:06.155,2,21769,0.189
12:50:06.167,1,12870,45.358
12:50:06.170,0,19354,201.782
12:50:06.199,2,21782,0.379
12:50:06.209,1,12883,41.665
12:50:06.211,0,19365,200.540
12:50:06.242,2,21796,0.692
12:50:06.250,1,12894,41.620
12:50:06.252,0,19375,199.022
12:50:06.282,1,12905,31.685
12:50:06.284,2,21809,0.237
12:50:06.293,0,19385,172.568
12:50:06.315,2,21822,0.153
12:50:06.325,0,19396,185.698
12:50:06.326,1,12917,44.807
12:50:06.360,2,21835,0.157
12:50:06.369,1,12930,42.571
12:50:06.369,0,19405,199.275
12:50:06.402,2,21847,0.234
12:50:06.411,1,12944,42.633
12:50:06.411,0,19415,200.343
12:50:06.442,1,12957,31.120
12:50:06.443,2,21859,0.175
12:50:06.453,0,19423,201.732
12:50:06.475,2,21871,0.200
12:50:06.485,0,19433,192.005
12:50:06.487,1,12969,45.892
12:50:06.520,2,21883,0.214
12:50:06.529,1,12981,41.287
12:50:06.530,0,19443,205.371
12:50:06.562,2,21896,0.373
12:50:06.570,1,12993,42.003
12:50:06.571,0,19454,202.279
12:50:06.602,1,13005,31.520
12:50:06.604,2,21910,0.453
12:50:06.613,0,19464,202.041
12:50:06.635,2,21922,0.343
12:50:06.645,0,19474,192.191
12:50:06.647,1,13018,45.177
12:50:06.680,2,21935,0.373
12:50:06.689,1,13031,42.318
12:50:06.690,0,19484,205.134
12:50:06.722,2,21948,0.462
12:50:06.731,1,13044,42.094
12:50:06.731,0,19495,201.285
12:50:06.762,1,13058,31.763
12:50:06.764,2,21961,0.274
12:50:06.774,0,19507,202.531
12:50:06.796,2,21973,0.422
12:50:06.808,1,13071,45.673
12:50:06.816,0,19517,202.669
12:50:06.841,2,21985,0.318
12:50:06.848,1,13082,40.844
12:50:06.851,0,19528,206.409
12:50:06.882,2,21997,0.353
12:50:06.891,0,19537,201.945
12:50:06.892,1,13094,43.549
12:50:06.924,2,22009,0.248
12:50:06.927,1,13108,35.502
12:50:06.933,0,19545,201.950
12:50:06.955,2,22022,0.395
12:50:06.965,0,19556,191.625
12:50:06.978,1,13120,52.402
12:50:07.000,2,22035,0.271
12:50:07.010,1,13133,31.420
12:50:07.010,0,19567,194.791
12:50:07.041,2,22048,0.166
12:50:07.051,0,19578,200.560
12:50:07.052,1,13147,42.238
12:50:07.115,1,13271,63.861
12:50:07.119,2,22174,1.292
12:50:07.133,2,22186,1.524
12:50:07.140,0,19708,249.180
12:50:07.141,1,13284,27.626
12:50:07.163,2,22199,0.445
12:50:07.178,1,13297,37.471
12:50:07.181,0,19728,248.480
12:50:07.204,2,22212,0.777
12:50:07.205,0,19738,240.483
12:50:07.209,1,13309,31.310
12:50:07.244,2,22224,0.601
12:50:07.250,1,13322,41.276
12:50:07.251,0,19749,241.266
12:50:07.285,2,22237,0.497
12:50:07.291,0,19760,240.231
12:50:07.292,1,13335,41.381
12:50:07.319,2,22250,0.214
12:50:07.332,1,13348,40.760
12:50:07.334,0,19769,198.636
12:50:07.361,2,22263,0.265
12:50:07.363,1,13359,31.019
12:50:07.365,0,19779,224.536
12:50:07.402,2,22276,0.173
12:50:07.408,1,13369,44.825
12:50:07.410,0,19789,237.000
12:50:07.444,2,22289,0.194
12:50:07.449,1,13382,41.755
12:50:07.451,0,19799,246.373
12:50:07.475,2,22301,0.299
12:50:07.491,1,13395,42.331
12:50:07.494,0,19810,243.184
12:50:07.520,2,22314,0.252
12:50:07.522,1,13406,30.997
12:50:07.525,0,19819,234.365
12:50:07.561,2,22326,0.167
12:50:07.568,1,13416,45.832
12:50:07.570,0,19828,237.189
12:50:07.604,2,22339,0.505
12:50:07.609,1,13426,41.884
12:50:07.611,0,19837,246.306
12:50:07.635,2,22351,0.251
12:50:07.651,1,13438,42.102
12:50:07.654,0,19848,244.892
12:50:07.681,2,22364,0.487
12:50:07.682,1,13451,31.440
12:50:07.685,0,19858,234.170
12:50:07.722,2,22377,0.255
12:50:07.728,1,13464,46.081
12:50:07.730,0,19868,236.498
12:50:07.763,2,22388,0.166
12:50:07.770,1,13477,41.433
12:50:07.771,0,19878,246.348
12:50:07.795,2,22401,0.162
12:50:07.812,1,13490,42.381
12:50:07.814,0,19889,243.992
12:50:07.841,2,22413,0.211
12:50:07.842,1,13501,30.748
12:50:07.845,0,19899,234.332
12:50:07.882,2,22426,0.292
12:50:07.888,1,13511,45.669
12:50:07.890,0,19910,236.424
12:50:07.924,2,22438,0.353
12:50:07.930,1,13524,42.228
12:50:07.931,0,19920,246.435
12:50:07.956,2,22451,0.323
12:50:07.972,1,13537,42.309
12:50:07.974,0,19929,243.999
12:50:08.001,2,22463,0.333
12:50:08.002,1,13549,30.800
12:50:08.006,0,19938,234.618
12:50:08.042,2,22475,0.274
12:50:08.048,1,13560,45.859
12:50:08.050,0,19948,236.493
12:50:08.084,2,22487,0.175
12:50:08.090,1,13571,41.655
12:50:08.116,2,22501,0.301
12:50:08.131,1,13582,42.079
12:50:08.134,0,20081,288.901
12:50:08.160,2,22513,0.433
12:50:08.163,1,13596,31.850
12:50:08.166,0,20091,276.137
12:50:08.174,0,20100,242.485
12:50:08.202,2,22526,0.303
12:50:08.209,1,13609,46.327
12:50:08.215,0,20111,241.195
12:50:08.244,2,22539,0.218
12:50:08.246,0,20120,240.113
12:50:08.250,1,13623,40.737
12:50:08.276,2,22551,0.316
12:50:08.290,0,20129,240.501
12:50:08.292,1,13636,42.470
12:50:08.320,2,22563,0.295
12:50:08.323,1,13649,31.092
12:50:08.332,0,20139,199.647
12:50:08.362,2,22576,0.473
12:50:08.368,1,13659,45.513
12:50:08.374,0,20149,240.169
