wall_time,cam,rtp_seq,passthrough_ms,dropped_packets
16:43:09.013,0,32588,0.722,0
16:43:09.014,1,49534,4.748,0
16:43:09.014,0,32589,0.879,0
16:43:09.014,1,49539,2.859,4
16:43:09.014,0,32590,1.257,0
16:43:09.015,1,49540,2.871,0
16:43:09.037,0,32591,1.060,0
16:43:09.038,0,32592,2.088,0
16:43:09.039,0,32593,1.293,0
16:43:09.039,0,32594,1.068,0
16:43:09.040,1,49541,1.023,0
16:43:09.040,0,32595,0.822,0
16:43:09.041,0,32596,0.480,0
16:43:09.042,1,49542,1.158,0
16:43:09.043,1,49543,0.772,0
16:43:09.043,0,32597,1.328,0
16:43:09.043,0,32599,1.277,1
16:43:09.044,1,49544,1.119,0
16:43:09.044,0,32600,0.935,0
16:43:09.044,1,49545,0.320,0
16:43:09.044,0,32601,1.011,0
16:43:09.045,0,32602,0.644,0
16:43:09.045,1,49546,0.474,0
16:43:09.045,0,32603,0.625,0
16:43:09.045,0,32604,0.687,0
16:43:09.046,1,49547,0.608,0
16:43:09.046,0,32605,0.453,0
16:43:09.046,0,32606,0.319,0
16:43:09.047,0,32607,0.486,0
16:43:09.047,0,32608,0.450,0
16:43:09.047,0,32609,0.357,0
16:43:09.048,2,37974,0.139,0
16:43:09.048,2,37975,0.161,0
16:43:09.048,2,37976,0.110,0
16:43:09.048,2,37977,0.154,0
16:43:09.048,2,37978,0.087,0
16:43:09.048,2,37979,0.109,0
16:43:09.048,2,37980,0.140,0
16:43:09.079,0,32610,0.764,0
16:43:09.079,0,32611,1.132,0
16:43:09.081,2,37981,0.853,0
16:43:09.082,0,32612,2.745,0
16:43:09.082,0,32613,2.663,0
16:43:09.083,0,32614,2.321,0
16:43:09.083,1,49548,2.922,0
16:43:09.084,0,32615,1.044,0
16:43:09.084,1,49550,1.975,1
16:43:09.084,1,49551,1.110,0
16:43:09.085,2,37982,1.933,0
16:43:09.085,2,37983,0.868,0
16:43:09.086,0,32616,1.472,0
16:43:09.086,0,32617,1.499,0
16:43:09.086,1,49552,1.402,0
16:43:09.087,0,32618,1.115,0
16:43:09.087,1,49553,1.544,0
16:43:09.087,0,32619,0.891,0
16:43:09.087,1,49554,1.544,0
16:43:09.088,2,37984,0.367,0
16:43:09.088,1,49555,1.350,0
16:43:09.088,0,32620,1.102,0
16:43:09.088,2,37985,0.118,0
16:43:09.089,2,37986,0.125,0
16:43:09.089,0,32621,1.407,0
16:43:09.089,0,32625,0.759,3
16:43:09.090,0,32626,0.875,0
16:43:09.090,2,37987,0.633,0
16:43:09.090,0,32627,0.668,0
16:43:09.122,2,37988,0.392,0
16:43:09.122,2,37989,0.542,0
16:43:09.123,2,37990,0.912,0
16:43:09.123,2,37993,0.503,2
16:43:09.123,2,37994,0.864,0
16:43:09.124,0,32628,0.473,0
16:43:09.124,0,32629,0.890,0
16:43:09.125,0,32630,0.717,0
16:43:09.125,0,32631,0.659,0
16:43:09.125,0,32633,0.531,1
16:43:09.126,1,49556,0.259,0
16:43:09.126,0,32634,1.097,0
16:43:09.126,1,49557,0.131,0
16:43:09.127,0,32635,0.997,0
16:43:09.128,1,49558,0.981,0
16:43:09.128,0,32636,1.571,0
16:43:09.129,0,32638,1.027,1
16:43:09.129,1,49561,1.293,2
16:43:09.129,0,32639,0.991,0
16:43:09.129,1,49562,1.459,0
16:43:09.130,0,32640,1.063,0
16:43:09.130,1,49563,1.522,0
16:43:09.130,0,32641,0.800,0
16:43:09.130,0,32642,0.927,0
16:43:09.131,0,32643,0.858,0
16:43:09.131,0,32644,0.706,0
16:43:09.131,0,32645,0.582,0
16:43:09.156,0,32646,0.581,0
16:43:09.156,0,32647,1.126,0
16:43:09.157,0,32649,0.965,1
16:43:09.157,0,32650,1.020,0
16:43:09.158,0,32651,1.015,0
16:43:09.158,0,32652,0.886,0
16:43:09.158,0,32653,0.831,0
16:43:09.159,0,32654,0.795,0
16:43:09.159,0,32655,0.748,0
16:43:09.159,0,32656,0.904,0
16:43:09.160,0,32657,1.203,0
16:43:09.160,0,32661,0.469,3
16:43:09.160,0,32662,0.474,0
16:43:09.160,0,32663,0.276,0
16:43:09.167,2,37996,0.325,1
16:43:09.168,2,37997,1.249,0
16:43:09.168,2,37998,1.527,0
16:43:09.168,2,37999,1.220,0
16:43:09.168,1,49564,1.134,0
16:43:09.169,2,38000,1.100,0
16:43:09.170,1,49565,1.006,0
16:43:09.170,2,38001,0.729,0
16:43:09.170,1,49566,1.352,0
16:43:09.171,1,49567,1.367,0
16:43:09.171,1,49568,1.037,0
16:43:09.171,1,49569,1.018,0
16:43:09.172,1,49570,0.772,0
16:43:09.172,1,49571,0.570,0
16:43:09.199,0,32664,0.850,0
16:43:09.200,0,32665,1.635,0
16:43:09.201,0,32666,1.424,0
16:43:09.201,0,32667,1.619,0
16:43:09.202,1,49572,0.538,0
16:43:09.203,1,49573,0.957,0
16:43:09.204,0,32668,3.552,0
16:43:09.204,0,32675,1.186,6
16:43:09.204,1,49574,0.865,0
16:43:09.205,0,32676,1.083,0
