wall_time,cam_index,full_ms,skipped
17:06:57.037,0,0.2497,0
17:06:57.047,2,18.1923,0
17:06:57.053,1,24.4703,0
17:06:57.084,1,30.5254,0
17:06:57.116,1,0.1098,1
17:06:57.165,0,1.2271,1
17:06:57.176,1,0.0845,1
17:06:57.209,1,0.0479,0
17:06:57.239,1,0.0753,0
17:06:57.250,0,0.0514,0
17:06:57.256,2,0.0436,1
17:06:57.275,2,0.0709,0
17:06:57.344,2,0.1108,1
17:06:57.426,2,33.0883,0
17:06:57.474,2,47.8225,0
17:06:57.493,1,0.0961,1
17:06:57.531,2,0.0772,1
17:06:57.577,1,39.9663,0
17:06:57.595,2,37.6402,0
17:06:57.624,2,29.2541,0
17:06:57.632,1,55.3831,0
17:06:57.633,0,0.0792,0
17:06:57.650,2,23.7197,0
17:06:57.667,1,34.0359,0
17:06:57.674,2,24.0614,0
17:06:57.713,1,0.0662,1
17:06:57.767,1,24.1347,0
17:06:57.798,0,0.0963,1
17:06:57.811,1,44.1787,0
17:06:57.841,1,29.8797,0
17:06:57.879,1,37.0875,0
17:06:57.912,2,237.7501,0
17:06:57.934,2,21.9611,0
17:06:57.957,0,0.1880,1
17:06:57.968,2,33.7223,0
17:06:58.000,2,0.0790,1
17:06:58.049,2,0.0743,0
17:06:58.081,1,0.6106,1
17:06:58.094,0,72.8835,0
17:06:58.136,2,0.0702,1
17:06:58.138,1,34.5166,0
17:06:58.166,0,0.0695,1
17:06:58.167,1,0.1258,1
17:06:58.168,2,0.0779,0
17:06:58.203,2,0.1452,0
17:06:58.241,0,0.0931,0
17:06:58.259,2,0.7987,1
17:06:58.265,1,1.0658,1
17:06:58.291,2,0.2737,0
17:06:58.349,1,52.2080,0
17:06:58.369,0,62.1462,0
17:06:58.400,1,50.8039,0
17:06:58.426,1,26.0816,0
17:06:58.459,0,0.0550,1
17:06:58.471,1,0.0812,1
17:06:58.537,2,12.8674,0
17:06:58.558,2,0.0524,1
17:06:58.576,1,71.9460,0
17:06:58.595,2,0.0714,0
17:06:58.621,2,0.0529,0
17:06:58.701,2,25.1227,0
17:06:58.736,2,0.0730,1
17:06:58.767,2,0.0840,0
17:06:58.837,2,0.0656,1
17:06:58.845,0,0.0919,0
17:06:58.868,2,0.0771,0
17:06:58.927,2,0.0808,1
17:06:58.980,0,0.0439,1
17:06:59.071,0,0.1579,0
17:06:59.119,1,86.9864,13
17:06:59.128,2,0.0627,0
17:06:59.161,0,0.0792,0
17:06:59.197,2,0.0726,1
17:06:59.239,0,0.0817,0
17:06:59.244,2,0.0511,0
17:06:59.351,2,0.1032,1
17:06:59.373,0,61.2215,0
17:06:59.415,2,35.4924,0
17:06:59.437,2,21.7527,0
17:06:59.448,0,0.0548,1
17:06:59.464,2,0.0729,1
17:06:59.509,2,0.2206,0
17:06:59.548,2,0.0766,0
17:06:59.593,0,0.2533,1
17:06:59.597,1,0.0539,14
17:06:59.781,1,0.0885,0
17:06:59.783,2,0.1056,1
17:06:59.801,2,0.0792,0
17:06:59.826,1,21.2518,0
17:06:59.863,1,36.8443,0
17:06:59.901,2,0.0785,1
17:06:59.904,1,40.5966,0
17:06:59.942,1,38.1175,0
17:06:59.965,2,0.0762,0
17:06:59.970,1,0.1130,1
17:07:00.020,2,34.0079,0
17:07:00.020,1,0.4814,0
17:07:00.042,2,0.0585,1
17:07:00.045,0,374.3029,0
17:07:00.081,2,0.0502,0
17:07:00.091,1,24.1008,0
17:07:00.114,2,0.0569,0
17:07:00.115,0,69.4323,0
17:07:00.134,1,43.4164,0
17:07:00.152,1,17.0346,0
17:07:00.176,2,34.0117,0
17:07:00.191,0,75.4900,0
17:07:00.206,2,0.1021,1
17:07:00.244,1,92.3613,0
17:07:00.259,0,0.1864,1
17:07:00.407,0,0.0605,1
17:07:00.408,2,0.0616,0
17:07:00.436,2,0.0467,0
17:07:00.468,2,0.0669,0
17:07:00.554,0,80.2283,0
17:07:00.565,2,56.1379,0
17:07:00.604,2,38.4678,0
17:07:00.613,0,0.1121,1
17:07:00.627,2,23.1896,0
17:07:00.671,2,43.9011,0
17:07:00.678,0,0.0704,0
17:07:00.703,1,62.5359,13
17:07:00.723,2,0.0833,1
17:07:00.757,0,0.1220,0
17:07:00.772,2,0.0587,0
17:07:00.790,2,0.0481,0
17:07:00.826,2,0.0479,0
17:07:00.860,2,0.0586,0
17:07:01.056,2,0.0730,0
17:07:01.076,2,0.0549,0
17:07:01.111,2,0.0734,0
17:07:01.154,2,0.0730,0
17:07:01.195,1,71.0886,12
17:07:01.231,2,55.3725,0
17:07:01.233,0,78.2124,0
17:07:01.272,2,40.6272,0
17:07:01.291,0,57.4571,0
17:07:01.299,2,26.3615,0
17:07:01.330,2,0.0585,1
17:07:01.366,1,171.5197,0
17:07:01.385,0,0.0829,1
17:07:01.386,1,0.0801,1
17:07:01.386,2,0.0725,1
17:07:01.419,2,0.0789,0
17:07:01.457,1,30.8578,0
17:07:01.499,0,0.1869,0
17:07:01.506,1,48.3942,0
17:07:01.527,1,21.5695,0
17:07:01.576,1,48.4475,0
17:07:01.609,0,0.0702,1
17:07:01.626,1,50.2472,0
17:07:01.656,1,29.0379,0
17:07:01.681,2,0.0922,1
17:07:01.685,1,29.5900,0
17:07:01.705,0,0.2295,0
17:07:01.709,1,0.6288,1
17:07:01.722,2,0.0719,1
17:07:01.804,2,0.2025,1
17:07:01.820,1,81.0048,0
17:07:01.841,0,68.3025,0
17:07:01.879,2,49.9141,0
17:07:01.908,2,0.0767,1
17:07:01.935,2,0.0773,0
17:07:01.968,2,0.0937,0
17:07:02.038,2,0.0511,1
17:07:02.140,2,0.0478,1
17:07:02.220,0,0.0558,1
17:07:02.301,1,0.1306,14
17:07:02.302,0,0.0975,0
17:07:02.431,0,59.8924,0
17:07:02.504,1,0.0830,0
17:07:02.522,0,90.9491,0
17:07:02.541,1,0.0981,1
17:07:02.563,1,0.0596,0
17:07:02.584,0,61.3599,0
17:07:02.637,1,39.4053,0
17:07:02.656,0,72.2238,0
17:07:02.678,1,41.1719,0
17:07:02.679,2,71.2672,12
17:07:02.716,1,37.8154,0
17:07:02.725,0,0.0563,1
17:07:02.751,1,0.0633,1
17:07:02.770,1,0.0904,0
17:07:02.800,1,0.0761,0
17:07:02.861,1,0.0752,1
17:07:02.864,2,184.7761,0
17:07:02.872,2,7.5729,0
17:07:02.897,2,24.4989,0
17:07:02.926,2,28.9163,0
17:07:02.963,2,36.7012,0
17:07:02.996,2,0.0863,1
17:07:03.037,2,0.0702,0
17:07:03.080,2,0.0648,0
17:07:03.121,2,0.0651,0
17:07:03.124,1,0.0854,1
17:07:03.176,2,0.0778,0
17:07:03.178,1,40.9204,0
17:07:03.216,2,0.3860,0
17:07:03.217,1,39.1543,0
17:07:03.233,0,82.1478,0
17:07:03.265,1,0.5839,1
17:07:03.283,2,27.1597,0
17:07:03.297,0,0.1674,1
17:07:03.340,1,20.2570,0
17:07:03.351,2,0.0709,1
17:07:03.357,0,0.0830,0
17:07:03.378,1,0.0899,1
17:07:03.402,1,0.0746,0
17:07:03.444,0,0.0828,0
17:07:03.461,1,2.6158,1
17:07:03.487,1,0.0984,0
17:07:03.525,2,0.0842,1
17:07:03.601,2,42.8000,0
17:07:03.602,0,65.6330,0
17:07:03.641,2,0.0807,1
17:07:03.729,2,0.0830,1
17:07:03.806,2,49.2455,0
17:07:03.852,2,45.0979,0
17:07:03.881,2,0.1519,1
17:07:03.981,0,0.0796,1
17:07:03.999,2,0.0718,1
17:07:04.042,1,0.0756,14
17:07:04.072,0,0.0882,0
17:07:04.146,0,0.0975,0
17:07:04.245,1,0.0784,0
17:07:04.286,0,0.0691,1
17:07:04.292,1,0.0794,1
17:07:04.374,1,0.0678,1
17:07:04.411,0,63.9889,0
17:07:04.456,1,43.6909,0
17:07:04.485,0,73.7859,0
17:07:04.488,2,77.5632,12
17:07:04.502,1,46.2952,0
17:07:04.528,1,25.4775,0
17:07:04.556,1,0.0712,1
17:07:04.586,1,0.0843,0
17:07:04.656,2,167.1298,0
17:07:04.676,2,19.9327,0
17:07:04.676,1,59.8778,0
17:07:04.701,2,25.5097,0
17:07:04.732,2,30.7327,0
17:07:04.764,2,31.8258,0
17:07:04.785,2,20.7705,0
17:07:04.826,2,40.6676,0
17:07:04.854,0,369.0974,0
17:07:04.866,2,0.0388,1
17:07:04.898,1,0.0935,1
17:07:04.936,2,24.0638,0
17:07:04.940,1,0.0767,1
17:07:04.952,0,97.7999,0
17:07:04.972,2,0.1471,1
17:07:05.019,1,37.0422,0
17:07:05.021,0,68.5142,0
17:07:05.021,2,0.1213,1
17:07:05.080,1,0.3226,1
17:07:05.088,0,66.7292,0
17:07:05.101,2,0.1299,0
17:07:05.136,1,21.1572,0
17:07:05.162,0,72.8367,0
17:07:05.163,1,26.7199,0
17:07:05.201,1,0.0550,1
17:07:05.222,0,60.6178,0
17:07:05.223,1,0.0942,0
17:07:05.260,1,0.0693,0
17:07:05.264,2,0.0831,0
17:07:05.294,0,71.2648,0
17:07:05.328,2,41.9508,0
17:07:05.348,0,54.1457,0
17:07:05.363,2,34.6849,0
17:07:05.398,2,34.2716,0
17:07:05.421,2,0.0601,1
17:07:05.512,2,0.0780,1
17:07:05.515,1,181.9676,0
17:07:05.540,1,0.0636,1
17:07:05.561,2,0.0747,0
17:07:05.592,2,0.0745,0
17:07:05.619,1,0.0581,1
17:07:05.626,2,0.0402,0
17:07:05.696,1,28.7362,0
17:07:05.724,2,72.8952,0
17:07:05.743,0,0.1141,1
17:07:05.748,1,51.5697,0
17:07:05.773,1,24.3518,0
17:07:05.809,1,0.0715,1
17:07:05.825,0,0.0811,0
17:07:05.880,1,25.0612,0
17:07:05.909,2,185.4166,0
17:07:05.916,1,0.1043,1
17:07:05.921,2,11.8059,0
17:07:05.958,0,50.7618,0
17:07:05.959,2,37.0482,0
17:07:06.001,2,0.0799,1
17:07:06.028,0,0.0879,1
17:07:06.071,2,0.1030,1
17:07:06.156,2,0.0487,1
17:07:06.157,1,171.0227,0
17:07:06.176,0,89.0659,0
17:07:06.191,1,0.0672,1
17:07:06.202,2,0.0724,0
17:07:06.218,1,0.0687,0
17:07:06.236,2,0.0770,0
17:07:06.261,2,0.0814,0
17:07:06.263,1,0.0600,0
17:07:06.266,0,0.0542,1
17:07:06.330,1,29.1412,0
17:07:06.358,2,66.6219,0
17:07:06.371,1,41.3062,0
17:07:06.423,1,51.8676,0
17:07:06.458,1,0.1234,1
17:07:06.536,1,39.9440,0
17:07:06.540,2,181.4903,0
17:07:06.562,2,22.4203,0
17:07:06.564,1,0.0613,1
17:07:06.576,2,0.0786,1
17:07:06.601,2,0.0639,0
17:07:06.628,2,0.0721,0
17:07:06.716,2,8.7097,0
17:07:06.735,2,0.0496,1
17:07:06.763,0,111.2225,0
17:07:06.795,0,0.0704,1
17:07:06.856,1,0.0669,1
17:07:06.857,2,0.0848,1
17:07:06.859,1,0.2286,0
17:07:06.879,1,0.5298,0
17:07:06.879,0,0.4160,0
17:07:06.884,2,20.9984,0
17:07:06.923,2,0.0791,1
17:07:06.925,1,0.0631,0
17:07:06.925,0,0.4458,0
17:07:07.004,2,0.3060,0
17:07:07.012,0,0.1192,1
17:07:07.028,1,24.0829,0
17:07:07.045,1,0.1830,1
17:07:07.131,1,44.7843,0
17:07:07.206,1,0.1717,1
17:07:07.211,1,0.0803,0
17:07:07.216,2,192.5580,0
17:07:07.242,2,0.0472,1
17:07:07.256,1,0.0854,0
17:07:07.265,2,0.0820,0
17:07:07.358,2,51.0206,0
17:07:07.371,0,0.2852,0
17:07:07.399,2,40.5822,0
17:07:07.480,2,80.7245,0
17:07:07.481,0,0.0785,0
17:07:07.487,2,6.2167,0
17:07:07.516,2,0.0866,1
17:07:07.527,0,0.0719,0
17:07:07.544,2,0.0829,0
17:07:07.578,2,0.0640,0
17:07:07.650,2,0.2376,0
17:07:07.652,0,0.2098,1
17:07:07.799,0,97.5608,0
17:07:07.811,0,0.0441,1
17:07:07.846,1,0.0746,14
17:07:07.854,2,0.0732,1
17:07:07.869,2,0.0852,0
17:07:07.928,2,0.0738,0
17:07:07.963,2,0.0726,0
17:07:07.991,2,0.0564,0
17:07:07.999,1,0.1923,0
17:07:08.042,2,0.0537,0
17:07:08.072,1,36.8494,0
17:07:08.095,1,22.4707,0
17:07:08.135,2,0.0649,1
17:07:08.146,1,50.4063,0
17:07:08.202,2,0.0787,0
17:07:08.203,1,0.0739,1
17:07:08.215,2,0.0655,0
17:07:08.230,0,81.1796,0
17:07:08.239,2,0.1033,0
17:07:08.261,1,27.7955,0
17:07:08.278,0,0.1619,1
17:07:08.329,1,0.8471,1
17:07:08.352,2,0.0972,1
17:07:08.382,1,37.2758,0
17:07:08.408,1,25.8557,0
17:07:08.462,0,0.0574,1
17:07:08.497,1,0.1896,1
17:07:08.549,2,0.0716,1
17:07:08.560,2,0.0576,0
17:07:08.562,0,0.0993,1
17:07:08.604,2,0.0445,0
17:07:08.673,2,0.1612,1
17:07:08.676,0,0.0954,1
17:07:08.733,1,57.5191,0
17:07:08.739,2,0.8717,0
17:07:08.740,1,7.4791,0
17:07:08.777,1,0.0821,1
17:07:08.793,2,25.4740,0
17:07:08.839,2,0.4203,1
17:07:08.839,1,0.5855,0
17:07:08.898,2,46.3800,0
17:07:08.925,1,0.0534,1
17:07:08.930,2,31.8775,0
17:07:09.038,2,107.2161,0
17:07:09.038,1,0.1139,1
17:07:09.047,0,0.0728,0
17:07:09.112,1,69.3468,0
17:07:09.191,2,0.2887,1
17:07:09.206,0,85.3732,0
17:07:09.240,2,0.0392,1
17:07:09.261,0,0.0836,1
17:07:09.328,2,0.0810,0
17:07:09.333,1,220.5285,0
17:07:09.339,1,0.0667,1
17:07:09.344,2,9.9543,0
17:07:09.369,1,24.5833,0
17:07:09.385,0,0.1640,1
17:07:09.385,2,40.7330,0
17:07:09.413,1,43.4733,0
17:07:09.437,2,51.7652,0
17:07:09.495,2,57.0880,0
17:07:09.496,1,0.1833,1
17:07:09.498,0,1.7840,1
17:07:09.514,2,19.1520,0
17:07:09.531,1,17.7593,0
17:07:09.541,2,26.3090,0
17:07:09.578,1,45.8699,0
17:07:09.578,0,0.0747,0
17:07:09.591,2,0.0390,1
17:07:09.645,1,67.8557,0
17:07:09.650,2,0.1178,0
17:07:09.682,1,0.0567,1
17:07:09.829,1,0.0600,0
17:07:09.875,1,28.1422,0
17:07:09.921,1,0.0647,1
17:07:09.956,1,0.0727,0
17:07:09.998,1,0.0750,0
17:07:10.011,0,0.0749,1
17:07:10.088,1,17.6427,0
17:07:10.093,2,22.3902,12
17:07:10.118,1,29.8621,0
17:07:10.161,0,44.2170,0
17:07:10.168,1,49.8721,0
17:07:10.204,1,0.1933,1
17:07:10.251,0,89.8581,0
17:07:10.287,0,35.0290,0
17:07:10.305,1,0.0529,1
17:07:10.322,2,0.0741,1
17:07:10.341,0,0.0584,1
17:07:10.342,2,0.3475,0
17:07:10.399,2,0.0758,0
17:07:10.410,0,2.1982,0
17:07:10.413,2,0.1067,0
17:07:10.476,2,33.1009,0
17:07:10.483,1,11.9190,0
17:07:10.500,2,0.2596,1
17:07:10.504,1,0.2784,1
17:07:10.535,0,74.8644,0
17:07:10.609,2,70.2740,0
17:07:10.610,1,0.0684,1
17:07:10.615,2,0.1018,1
17:07:10.658,1,40.6333,0
17:07:10.744,1,0.0529,1
17:07:10.744,2,0.0736,1
17:07:10.748,1,0.0487,0
17:07:10.776,1,0.0587,0
17:07:10.864,1,0.0968,0
17:07:10.919,0,383.8986,0
17:07:11.009,1,101.3918,0
17:07:11.014,0,0.0605,1
17:07:11.080,0,0.0622,0
17:07:11.156,0,0.0766,0
17:07:11.160,1,0.0521,1
17:07:11.172,0,0.4992,0
17:07:11.195,1,29.4127,0
17:07:11.216,2,57.5742,13
17:07:11.227,1,0.0780,1
17:07:11.303,1,3.5687,0
17:07:11.309,0,0.1115,1
17:07:11.328,1,0.2356,1
17:07:11.410,1,64.1814,0
17:07:11.425,2,0.0484,1
17:07:11.457,0,43.4327,0
17:07:11.459,1,48.5331,0
17:07:11.461,2,25.0089,0
17:07:11.500,1,41.7848,0
17:07:11.502,2,41.3422,0
17:07:11.528,2,25.8786,0
17:07:11.548,1,0.0564,1
17:07:11.566,2,37.3858,0
17:07:11.619,2,53.5582,0
17:07:11.656,2,36.7504,0
17:07:11.690,2,0.0486,1
17:07:11.751,1,16.8401,0
17:07:11.763,2,32.1986,0
17:07:11.806,1,54.7519,0
17:07:11.807,2,0.1839,1
17:07:11.814,1,7.6788,0
17:07:11.852,2,0.0536,0
17:07:11.857,1,42.9866,0
17:07:11.897,1,39.8103,0
17:07:11.926,1,0.0528,1
17:07:12.010,1,0.0786,1
17:07:12.053,1,0.0786,0
17:07:12.102,2,0.0685,1
17:07:12.141,2,0.0688,1
17:07:12.144,1,27.1336,0
17:07:12.221,2,53.5189,0
17:07:12.269,2,47.2008,0
17:07:12.273,0,51.7641,11
17:07:12.295,2,0.0891,1
17:07:12.330,2,0.0635,0
17:07:12.338,1,0.0409,1
17:07:12.356,2,0.2973,0
17:07:12.374,1,0.1898,1
17:07:12.386,2,0.0798,0
17:07:12.456,2,29.8735,0
17:07:12.456,1,33.4522,0
17:07:12.497,1,40.5699,0
17:07:12.507,2,50.8511,0
17:07:12.524,1,26.7252,0
17:07:12.558,2,50.7753,0
17:07:12.559,1,0.6398,1
17:07:12.635,1,0.0511,1
17:07:12.712,1,0.0795,0
17:07:12.733,2,0.0782,1
17:07:12.760,1,0.0494,0
17:07:12.766,2,0.0683,0
17:07:12.812,2,0.1100,0
17:07:12.837,2,0.1134,0
17:07:12.938,2,45.8271,0
17:07:12.986,2,0.0729,1
17:07:12.996,1,0.2376,1
17:07:13.005,1,0.0487,0
17:07:13.019,2,0.0603,0
17:07:13.022,1,0.0600,0
17:07:13.034,2,0.0568,0
17:07:13.070,2,0.0740,0
17:07:13.098,1,0.1267,1
17:07:13.102,2,0.0666,0
17:07:13.119,0,69.8394,11
17:07:13.158,2,0.1082,0
17:07:13.162,1,34.0285,0
17:07:13.194,1,32.5434,0
17:07:13.213,2,0.0638,0
17:07:13.224,1,29.3647,0
17:07:13.256,1,0.0889,1
17:07:13.365,1,30.7695,0
17:07:13.401,2,0.0428,1
17:07:13.411,1,0.0627,1
17:07:13.436,2,0.0775,0
17:07:13.462,1,0.0774,0
17:07:13.478,2,0.0698,0
17:07:13.506,2,0.0622,0
17:07:13.511,0,391.8180,0
17:07:13.587,0,75.9188,0
17:07:13.610,2,0.0403,1
17:07:13.632,0,0.1223,1
17:07:13.652,2,0.0706,0
17:07:13.673,1,16.4694,0
17:07:13.688,1,14.8071,0
17:07:13.721,2,39.0641,0
17:07:13.723,1,0.1126,1
17:07:13.723,0,0.0784,0
17:07:13.752,2,30.6542,0
17:07:13.780,2,28.3170,0
17:07:13.781,1,0.3816,1
17:07:13.843,2,62.7325,0
17:07:13.857,1,44.8580,0
17:07:13.888,1,30.6533,0
17:07:13.892,0,74.3878,0
17:07:13.892,2,0.3290,1
17:07:13.912,1,23.7968,0
17:07:13.951,0,59.1711,0
17:07:13.996,1,0.0773,1
17:07:14.018,0,67.1650,0
17:07:14.071,1,27.5725,0
17:07:14.088,2,0.0717,1
17:07:14.161,2,0.0656,1
17:07:14.206,2,0.0871,0
17:07:14.269,1,197.2927,0
17:07:14.282,2,0.0758,1
17:07:14.289,1,0.0508,1
17:07:14.322,1,0.0829,0
17:07:14.334,1,0.0724,0
17:07:14.359,2,36.5024,0
17:07:14.364,0,345.0881,0
17:07:14.372,2,12.5311,0
17:07:14.403,2,30.9547,0
17:07:14.417,1,45.9560,0
17:07:14.442,0,74.6650,0
17:07:14.456,1,39.2111,0
17:07:14.457,2,0.2617,1
17:07:14.489,1,32.7856,0
17:07:14.511,1,21.7772,0
17:07:14.545,1,0.0551,1
17:07:14.546,0,0.0641,1
17:07:14.630,1,0.4652,0
17:07:14.673,0,0.0579,1
17:07:14.682,1,0.0508,0
17:07:14.741,1,0.0627,0
17:07:14.742,0,0.0542,0
17:07:14.810,0,0.0513,0
17:07:14.850,0,0.0683,0
17:07:14.928,1,31.3441,0
17:07:14.941,1,0.0801,1
17:07:14.962,2,58.6381,13
17:07:15.036,1,56.9996,0
17:07:15.086,1,49.9139,0
17:07:15.115,1,29.5061,0
17:07:15.144,2,0.0822,1
17:07:15.155,2,0.0738,0
17:07:15.171,1,0.0558,1
17:07:15.190,2,0.0795,0
17:07:15.228,1,25.5221,0
17:07:15.277,2,42.7527,0
17:07:15.299,1,70.9825,0
17:07:15.307,2,29.9732,0
17:07:15.325,0,423.4946,0
17:07:15.339,1,39.4949,0
17:07:15.355,2,0.0661,1
17:07:15.372,1,33.2667,0
17:07:15.396,2,0.0787,0
17:07:15.417,0,0.0675,1
17:07:15.426,2,0.0976,0
17:07:15.461,2,0.0846,0
17:07:15.490,2,0.0523,0
17:07:15.548,0,0.2333,1
17:07:15.550,2,2.7411,0
17:07:15.572,1,199.5638,0
17:07:15.576,1,4.0431,0
17:07:15.591,2,0.0898,0
17:07:15.603,1,26.4147,0
17:07:15.651,1,47.3824,0
17:07:15.677,0,86.1815,0
17:07:15.690,1,39.1612,0
17:07:15.744,1,53.5609,0
17:07:15.752,0,70.9740,0
17:07:15.780,1,0.1258,1
17:07:15.795,2,0.0730,1
17:07:15.809,1,0.0659,0
17:07:15.816,0,63.9522,0
17:07:15.833,2,0.0856,0
17:07:15.860,2,0.0520,0
17:07:15.888,0,71.9798,0
17:07:15.911,1,71.0116,0
17:07:15.938,2,31.4635,0
17:07:15.951,1,0.1048,1
17:07:15.964,2,26.1884,0
17:07:16.004,2,39.9542,0
17:07:16.046,2,41.2999,0
17:07:16.085,2,0.0455,1
17:07:16.126,2,0.0824,0
17:07:16.129,1,0.0787,0
17:07:16.171,1,24.7464,0
17:07:16.191,2,0.0843,0
