wall_time,cam_index,decoder_ms,dropped
13:02:53.942,1,2.7695,0
13:02:53.944,2,2.5601,0
13:02:53.947,1,2.5932,0
13:02:53.949,2,2.7604,0
13:02:53.950,1,2.6332,0
13:02:53.953,2,2.5796,0
13:02:53.953,0,14.1967,0
13:02:53.955,1,3.3506,0
13:02:53.956,0,2.8064,0
13:02:53.959,0,2.4448,0
13:02:53.962,0,2.2094,0
13:02:53.964,0,1.9900,0
13:02:53.974,2,3.1761,0
13:02:53.991,1,2.8562,0
13:02:53.996,0,2.5647,0
13:02:54.002,2,2.5924,0
13:02:54.033,0,2.6056,0
13:02:54.037,1,3.1210,0
13:02:54.044,2,2.5394,0
13:02:54.069,1,3.0655,0
13:02:54.092,0,2.0710,0
13:02:54.092,2,2.5271,0
13:02:54.113,1,2.9296,0
13:02:54.118,0,2.7297,0
13:02:54.123,2,3.0838,0
13:02:54.164,1,3.5190,0
13:02:54.166,0,2.3315,0
13:02:54.166,2,2.4744,0
13:02:54.184,0,2.8481,0
13:02:54.198,1,3.4920,0
13:02:54.222,2,3.4107,0
13:02:54.229,1,2.6668,0
13:02:54.233,0,2.7441,0
13:02:54.239,2,2.7338,0
13:02:54.276,0,2.3008,0
13:02:54.278,1,2.7147,0
13:02:54.285,2,3.1828,0
13:02:54.313,0,2.7933,0
13:02:54.330,1,2.6626,0
13:02:54.331,2,3.3738,0
13:02:54.345,0,2.9160,0
13:02:54.353,1,3.2704,0
13:02:54.364,2,3.2689,0
13:02:54.391,0,2.8923,0
13:02:54.391,1,3.2744,0
13:02:54.398,2,3.3744,0
13:02:54.454,0,2.2181,0
13:02:54.455,1,2.7957,0
13:02:54.455,2,2.7732,0
13:02:54.478,1,2.9337,0
13:02:54.478,0,2.7011,0
13:02:54.482,2,2.8116,0
13:02:54.508,0,2.3433,0
13:02:54.516,1,3.3693,0
13:02:54.528,2,3.1477,0
13:02:54.550,1,3.3234,0
13:02:54.564,0,2.8826,0
13:02:54.565,2,3.3082,0
13:02:54.594,1,3.3222,0
13:02:54.595,0,2.2298,0
13:02:54.619,2,2.9261,0
13:02:54.633,1,2.6192,0
