wall_time,cam_index,full_ms,dropped
11:48:02.214,2,2.4032,0
11:48:02.214,0,3.5478,1
11:48:02.223,1,3.5411,0
11:48:02.232,2,2.5145,1
11:48:02.265,1,3.3292,1
11:48:02.276,2,3.2714,1
11:48:02.361,1,0.0724,0
11:48:02.362,0,2.6355,1
11:48:02.362,2,3.3314,3
11:48:02.380,0,3.0114,0
11:48:02.380,2,7.3763,0
11:48:02.383,1,6.4701,0
11:48:02.395,2,3.3697,0
11:48:02.422,0,2.5494,2
11:48:02.426,1,2.8444,0
11:48:02.436,2,3.1538,0
11:48:02.467,1,3.2151,1
11:48:02.493,0,2.6574,0
11:48:02.515,1,2.4190,1
11:48:02.536,1,2.8059,1
11:48:02.550,2,3.1583,1
11:48:02.595,2,3.2138,0
11:48:02.655,0,2.2995,1
11:48:02.685,2,3.2507,1
11:48:02.705,1,3.0336,1
11:48:02.713,2,7.3767,0
11:48:02.735,0,2.4187,0
11:48:02.746,1,3.4291,2
11:48:02.753,2,3.2598,0
11:48:02.773,0,2.2012,0
11:48:02.797,1,3.7300,1
11:48:02.798,2,3.4619,1
11:48:02.805,0,2.9412,0
11:48:02.850,0,1.6409,0
11:48:02.851,2,2.7893,1
11:48:02.859,1,2.9028,1
11:48:02.868,2,2.3695,3
11:48:02.902,0,2.5417,0
11:48:02.903,1,2.7657,2
11:48:02.914,2,3.3156,0
11:48:02.932,0,3.0680,0
11:48:02.956,1,2.3967,1
11:48:02.963,2,3.5727,1
11:48:02.974,0,2.8582,0
11:48:02.986,1,3.0868,0
11:48:03.013,0,2.7184,0
11:48:03.013,2,6.3643,1
11:48:03.023,1,3.1893,0
11:48:03.223,2,0.0814,35
11:48:03.226,2,0.0950,2
11:48:03.277,2,4.0980,0
11:48:03.290,2,3.2509,1
11:48:03.294,0,15.1717,30
11:48:03.296,0,0.0560,4
11:48:03.298,0,0.1192,1
11:48:03.306,0,2.7050,0
11:48:03.307,2,3.6595,1
11:48:03.331,0,21.9200,0
11:48:03.343,0,2.5981,1
11:48:03.343,2,3.4392,1
11:48:03.348,1,19.9278,23
11:48:03.353,1,2.3060,0
11:48:03.356,2,3.1773,0
11:48:03.356,1,0.0550,2
11:48:03.359,1,0.0521,4
11:48:03.361,1,0.0438,1
11:48:03.364,1,0.0461,1
11:48:03.366,1,2.4683,1
11:48:03.389,1,3.6274,1
11:48:03.398,2,3.2958,1
11:48:03.405,0,2.7200,1
11:48:03.418,1,3.3720,0
11:48:03.443,2,3.4697,0
11:48:03.463,1,3.2706,0
11:48:03.474,2,3.2692,2
11:48:03.506,1,2.8264,0
11:48:03.518,2,4.6850,0
11:48:03.561,1,3.0846,1
11:48:03.561,2,3.2549,1
11:48:03.581,1,3.5186,0
11:48:03.592,2,3.3307,0
11:48:03.627,0,2.5338,1
11:48:03.628,1,2.8645,1
11:48:03.641,2,3.3577,2
11:48:03.653,0,2.3999,0
11:48:03.666,1,5.8749,0
11:48:03.693,2,3.0358,1
11:48:03.712,1,3.3353,1
11:48:03.721,2,3.0926,2
11:48:03.742,0,2.8052,1
11:48:03.746,1,2.8647,2
11:48:03.753,2,3.1789,1
11:48:03.771,0,2.4773,0
11:48:03.798,2,2.8167,2
11:48:03.798,1,2.6634,0
11:48:03.810,0,2.6593,0
11:48:03.827,1,2.9231,0
11:48:03.853,0,2.5298,0
11:48:03.854,2,20.8516,0
11:48:03.881,2,3.1434,1
11:48:03.912,1,2.5847,0
11:48:03.916,2,6.9240,0
11:48:03.926,0,2.4422,1
11:48:03.948,1,3.3292,1
11:48:03.986,1,2.5389,2
11:48:04.001,2,5.3190,1
11:48:04.021,0,2.4637,0
11:48:04.032,1,3.4545,0
11:48:04.076,2,3.1600,0
11:48:04.077,1,3.4156,0
11:48:04.128,1,17.4906,0
11:48:04.135,2,2.7882,0
11:48:04.158,1,3.1448,1
11:48:04.170,2,13.3197,1
11:48:04.183,0,16.0650,28
11:48:04.185,0,0.0612,2
11:48:04.187,0,2.1970,0
11:48:04.191,1,2.8603,0
11:48:04.215,2,2.8332,0
11:48:04.222,1,3.0873,0
11:48:04.262,1,2.8897,1
11:48:04.273,2,3.3648,0
11:48:04.292,0,2.0715,0
11:48:04.328,2,3.0837,1
11:48:04.328,1,3.6629,1
11:48:04.334,0,2.5778,0
11:48:04.368,2,3.4018,1
11:48:04.371,0,2.3761,0
11:48:04.380,1,5.0763,0
11:48:04.389,2,2.9661,0
11:48:04.429,0,2.5807,1
11:48:04.430,1,3.4342,0
11:48:04.438,2,3.4607,1
11:48:04.457,0,2.7564,1
11:48:04.464,1,3.2723,0
11:48:04.476,2,2.3177,2
11:48:04.506,0,2.7111,0
11:48:04.518,2,3.2067,1
11:48:04.537,0,2.4668,0
11:48:04.541,1,6.5072,0
11:48:04.561,2,3.1303,1
11:48:04.586,1,2.3864,0
11:48:04.597,2,2.5246,1
11:48:04.615,0,2.5625,1
11:48:04.628,1,7.5081,0
11:48:04.636,2,2.4072,0
11:48:04.669,0,2.2174,1
11:48:04.674,1,3.6829,1
11:48:04.679,2,3.2923,0
11:48:04.701,1,2.5819,0
11:48:04.710,2,3.3978,2
11:48:04.744,0,2.6927,1
11:48:04.747,1,5.6506,1
11:48:04.756,2,3.0365,0
11:48:04.803,2,2.3139,1
11:48:04.803,1,2.8588,0
11:48:04.828,1,2.8208,1
11:48:04.839,2,3.2754,2
11:48:04.921,0,2.9945,0
11:48:04.921,2,2.3308,2
