12923,1771851191.943112531,1771851191.929479014,-13.6335
12924,1771851191.943127531,1771851191.929479063,-13.6485
12925,1771851191.943133075,1771851191.929479114,-13.654
12926,1771851191.943138549,1771851191.929479163,-13.6595
12927,1771851191.943151385,1771851191.929479212,-13.6724
12928,1771851191.943157668,1771851191.929532738,-13.6249
12929,1771851191.978952700,1771851191.957917647,-21.035
12930,1771851191.979026668,1771851191.957918146,-21.1084
12931,1771851191.979033283,1771851191.957918192,-21.1151
12932,1771851191.979046121,1771851191.957918239,-21.1279
12933,1771851191.979052008,1771851191.957918285,-21.1339
12934,1771851191.979063160,1771851191.957918331,-21.1449
12935,1771851191.979067941,1771851191.957918377,-21.1496
12936,1771851191.979080710,1771851191.957918423,-21.1623
12937,1771851191.979086608,1771851191.957996879,-21.0898
12938,1771851191.979091729,1771851191.957996981,-21.0946
12939,1771851191.979103281,1771851191.957997027,-21.1062
12940,1771851191.979109062,1771851191.957997075,-21.112
12941,1771851191.979113760,1771851191.957997119,-21.1167
12942,1771851191.979127573,1771851191.957997165,-21.1306
12943,1771851191.979132190,1771851191.957997212,-21.1349
12944,1771851191.979138546,1771851191.957997258,-21.1413
12945,1771851191.979150593,1771851191.958024000,-21.1265
12946,1771851191.979155759,1771851191.958024280,-21.1315
12947,1771851191.979160269,1771851191.958024327,-21.136
12948,1771851192.010404009,1771851191.988863660,-21.5404
12949,1771851192.010427864,1771851191.988864341,-21.5635
12950,1771851192.010440580,1771851191.988864390,-21.5762
12951,1771851192.010446712,1771851191.988864440,-21.5824
12952,1771851192.010456786,1771851191.988864490,-21.5924
12953,1771851192.010461847,1771851191.988864540,-21.5974
12954,1771851192.010474054,1771851191.988864589,-21.6093
12955,1771851192.010479270,1771851191.988864639,-21.6146
12956,1771851192.010483745,1771851191.988942312,-21.5414
12957,1771851192.010494626,1771851191.988942604,-21.5521
12958,1771851192.010500241,1771851191.988942653,-21.5576
12959,1771851192.010504574,1771851191.988942703,-21.5619
12960,1771851192.010515773,1771851191.988942752,-21.5728
12961,1771851192.010521349,1771851191.988942801,-21.5786
12962,1771851192.010526237,1771851191.988942850,-21.5833
12963,1771851192.010536648,1771851191.993353181,-17.1835
12964,1771851192.010541389,1771851191.993353978,-17.1874
12965,1771851192.042959691,1771851192.019811524,-23.1481
12966,1771851192.043027116,1771851192.019816153,-23.211
