Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/26/2026 	_x86_64_	(16 CPU)

09:52:35 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:54:17 AM     all     18.06      0.00      2.79      0.13      0.00      0.00      1.01      0.00      0.00     78.01
09:54:18 AM     all     17.48      0.00      2.29      0.00      0.00      0.00      0.83      0.00      0.00     79.40
09:54:19 AM     all     17.31      0.00      2.48      0.00      0.00      0.00      0.83      0.00      0.00     79.38
09:54:20 AM     all     17.86      0.00      2.55      0.00      0.00      0.00      0.64      0.00      0.00     78.95
09:54:21 AM     all     17.26      0.00      2.24      0.00      0.00      0.00      0.70      0.00      0.00     79.80
09:54:22 AM     all     17.20      0.00      1.85      0.00      0.00      0.00      0.70      0.00      0.00     80.25
09:54:23 AM     all     17.10      0.00      2.18      0.13      0.00      0.00      0.77      0.00      0.00     79.82
09:54:24 AM     all     17.01      0.00      2.28      0.00      0.00      0.00      0.95      0.00      0.00     79.76
09:54:25 AM     all     16.17      0.00      2.17      0.00      0.00      0.00      0.77      0.00      0.00     80.89
09:54:26 AM     all     15.85      0.00      2.12      0.00      0.00      0.00      0.83      0.00      0.00     81.19
09:54:27 AM     all     16.61      0.00      2.23      0.00      0.00      0.00      0.64      0.00      0.00     80.52
09:54:28 AM     all     17.05      0.00      2.42      0.13      0.00      0.00      0.70      0.00      0.00     79.71
09:54:29 AM     all     16.57      0.00      2.36      0.00      0.00      0.00      0.83      0.00      0.00     80.24
09:54:30 AM     all     16.30      0.00      2.04      0.00      0.00      0.00      0.76      0.00      0.00     80.90
09:54:31 AM     all     16.51      0.00      2.29      0.00      0.00      0.00      0.89      0.00      0.00     80.32
09:54:32 AM     all     17.22      0.00      2.54      0.00      0.00      0.00      0.76      0.00      0.00     79.48
09:54:33 AM     all     15.80      0.00      2.37      0.06      0.00      0.00      0.70      0.00      0.00     81.06
09:54:34 AM     all     16.68      0.00      1.90      0.00      0.00      0.00      0.82      0.00      0.00     80.60
09:54:35 AM     all     16.42      0.00      2.11      0.00      0.00      0.00      0.51      0.00      0.00     80.96
09:54:36 AM     all     17.12      0.00      2.09      0.06      0.00      0.00      1.14      0.00      0.00     79.58
09:54:37 AM     all     16.29      0.00      2.05      0.00      0.00      0.00      0.71      0.00      0.00     80.95
09:54:38 AM     all     16.94      0.00      2.35      0.13      0.00      0.00      0.76      0.00      0.00     79.82
09:54:39 AM     all     15.92      0.00      2.37      0.00      0.00      0.00      0.70      0.00      0.00     81.01
09:54:40 AM     all     16.67      0.00      3.11      0.00      0.00      0.00      0.51      0.00      0.00     79.72
09:54:41 AM     all     16.83      0.00      2.23      0.00      0.00      0.00      0.89      0.00      0.00     80.05
09:54:42 AM     all     16.60      0.00      2.12      0.00      0.00      0.00      0.83      0.00      0.00     80.45
09:54:43 AM     all     16.24      0.00      2.42      0.00      0.00      0.00      0.70      0.00      0.00     80.64
09:54:44 AM     all     17.68      0.00      2.30      0.00      0.00      0.00      0.77      0.00      0.00     79.26
09:54:45 AM     all     16.49      0.00      2.48      0.00      0.00      0.00      0.83      0.00      0.00     80.20
09:54:46 AM     all     16.77      0.00      2.10      0.00      0.00      0.00      0.76      0.00      0.00     80.37
09:54:47 AM     all     16.78      0.00      1.91      0.00      0.00      0.00      0.77      0.00      0.00     80.54
09:54:48 AM     all     16.37      0.00      2.43      0.00      0.00      0.00      0.58      0.00      0.00     80.63
09:54:49 AM     all     16.68      0.00      2.23      0.13      0.00      0.00      0.70      0.00      0.00     80.27
09:54:50 AM     all     17.27      0.00      2.49      0.00      0.00      0.00      0.70      0.00      0.00     79.54
09:54:51 AM     all     16.92      0.00      2.04      0.00      0.00      0.00      0.51      0.00      0.00     80.52
09:54:52 AM     all     16.19      0.00      2.05      0.00      0.00      0.00      0.96      0.00      0.00     80.81
09:54:53 AM     all     17.63      0.00      2.35      0.00      0.00      0.00      0.82      0.00      0.00     79.20
09:54:54 AM     all     17.23      0.00      2.09      0.06      0.00      0.00      1.08      0.00      0.00     79.54
09:54:55 AM     all     16.62      0.00      2.17      0.00      0.00      0.00      0.70      0.00      0.00     80.50
09:54:56 AM     all     16.55      0.00      2.36      0.00      0.00      0.00      0.89      0.00      0.00     80.20
09:54:57 AM     all     17.90      0.00      2.23      0.00      0.00      0.00      0.70      0.00      0.00     79.17
09:54:58 AM     all     16.67      0.00      2.23      0.00      0.00      0.00      0.83      0.00      0.00     80.27
09:54:59 AM     all     16.85      0.00      2.48      0.13      0.00      0.00      0.89      0.00      0.00     79.66
09:55:00 AM     all     17.27      0.00      2.61      0.00      0.00      0.00      0.83      0.00      0.00     79.29
09:55:01 AM     all     15.72      0.00      2.03      0.00      0.00      0.00      1.01      0.00      0.00     81.24
09:55:02 AM     all     16.87      0.00      2.24      0.00      0.00      0.00      0.77      0.00      0.00     80.13
09:55:03 AM     all     17.10      0.00      2.05      0.00      0.00      0.00      0.77      0.00      0.00     80.08
09:55:04 AM     all     17.64      0.00      2.48      0.06      0.00      0.00      0.83      0.00      0.00     78.98
09:55:05 AM     all     17.24      0.00      2.54      0.00      0.00      0.00      0.83      0.00      0.00     79.39
09:55:06 AM     all     18.04      0.00      2.48      0.00      0.00      0.00      0.70      0.00      0.00     78.78
09:55:07 AM     all     16.88      0.00      2.17      0.00      0.00      0.00      0.77      0.00      0.00     80.18
09:55:08 AM     all     18.16      0.00      2.10      0.00      0.00      0.00      0.64      0.00      0.00     79.09
09:55:09 AM     all     17.77      0.00      2.47      0.06      0.00      0.00      0.70      0.00      0.00     79.00
09:55:10 AM     all     16.75      0.00      1.72      0.00      0.00      0.00      0.70      0.00      0.00     80.83
09:55:11 AM     all     17.37      0.00      2.29      0.06      0.00      0.00      0.89      0.00      0.00     79.39
09:55:12 AM     all     16.58      0.00      2.22      0.06      0.00      0.00      0.70      0.00      0.00     80.43
09:55:13 AM     all     17.07      0.00      2.10      0.00      0.00      0.00      0.89      0.00      0.00     79.94
09:55:14 AM     all     21.44      0.00      2.43      0.06      0.00      0.00      0.64      0.00      0.00     75.43
09:55:15 AM     all     17.76      0.00      2.48      0.00      0.00      0.00      1.02      0.00      0.00     78.74
09:55:16 AM     all     17.88      0.00      2.43      0.00      0.00      0.00      0.64      0.00      0.00     79.05
09:55:17 AM     all     17.72      0.00      2.17      0.00      0.00      0.00      0.57      0.00      0.00     79.54
09:55:18 AM     all     18.15      0.00      2.47      0.00      0.00      0.00      0.95      0.00      0.00     78.43
09:55:19 AM     all     18.26      0.00      2.75      0.06      0.00      0.00      0.70      0.00      0.00     78.22
09:55:20 AM     all     18.65      0.00      1.91      0.00      0.00      0.00      0.89      0.00      0.00     78.55
09:55:21 AM     all     17.79      0.00      2.30      0.00      0.00      0.00      0.96      0.00      0.00     78.95
09:55:22 AM     all     16.93      0.00      2.09      0.00      0.00      0.00      0.63      0.00      0.00     80.34


Average:        all     17.41      0.00      2.27      0.03      0.00      0.00      0.76      0.00      0.00     79.52
