wall_time,iface,tx_mbps,rx_mbps
15:49:29,enx0c3796ba2d6a,0.108,4.964
15:49:29,enx0c3796ba2d67,0.094,4.170
15:49:30,enp0s31f6,0.074,3.634
15:49:30,enx0c3796ba2d6a,0.076,3.629
15:49:30,enx0c3796ba2d67,0.093,4.225
15:49:31,enp0s31f6,0.106,4.951
15:49:31,enx0c3796ba2d6a,0.108,4.822
15:49:31,enx0c3796ba2d67,0.097,4.305
15:49:32,enp0s31f6,0.066,3.571
15:49:32,enx0c3796ba2d6a,0.078,3.487
15:49:32,enx0c3796ba2d67,0.088,4.144
15:49:33,enp0s31f6,0.099,4.691
15:49:33,enx0c3796ba2d6a,0.105,4.927
15:49:33,enx0c3796ba2d67,0.088,4.134
15:49:34,enp0s31f6,0.073,3.644
15:49:34,enx0c3796ba2d6a,0.072,3.381
15:49:34,enx0c3796ba2d67,0.092,4.184
15:49:35,enp0s31f6,0.103,4.969
15:49:35,enx0c3796ba2d6a,0.114,5.199
15:49:35,enx0c3796ba2d67,0.096,4.397
15:49:36,enp0s31f6,0.074,3.601
15:49:36,enx0c3796ba2d6a,0.076,3.344
15:49:36,enx0c3796ba2d67,0.095,4.353
15:49:37,enp0s31f6,0.099,4.809
15:49:37,enx0c3796ba2d6a,0.108,4.962
15:49:37,enx0c3796ba2d67,0.092,4.042
15:49:38,enp0s31f6,0.080,3.624
15:49:38,enx0c3796ba2d6a,0.076,3.483
15:49:38,enx0c3796ba2d67,0.092,4.136
15:49:39,enp0s31f6,0.098,4.806
15:49:39,enx0c3796ba2d6a,0.112,5.021
15:49:39,enx0c3796ba2d67,0.092,4.188
15:49:40,enp0s31f6,0.069,3.552
15:49:40,enx0c3796ba2d6a,0.075,3.357
15:49:40,enx0c3796ba2d67,0.097,4.308
15:49:41,enp0s31f6,0.105,5.099
15:49:41,enx0c3796ba2d6a,0.114,5.279
15:49:41,enx0c3796ba2d67,0.099,4.366
15:49:42,enp0s31f6,0.067,3.553
15:49:42,enx0c3796ba2d6a,0.076,3.542
15:49:42,enx0c3796ba2d67,0.093,4.306
15:49:43,enp0s31f6,0.100,4.793
15:49:43,enx0c3796ba2d6a,0.110,5.003
15:49:43,enx0c3796ba2d67,0.092,4.133
15:49:44,enp0s31f6,0.074,3.608
15:49:44,enx0c3796ba2d6a,0.075,3.398
15:49:44,enx0c3796ba2d67,0.092,4.203
15:49:45,enp0s31f6,0.102,4.764
15:49:45,enx0c3796ba2d6a,0.108,4.915
15:49:45,enx0c3796ba2d67,0.088,4.100
15:49:46,enp0s31f6,0.074,3.629
15:49:46,enx0c3796ba2d6a,0.072,3.356
15:49:46,enx0c3796ba2d67,0.094,4.219
15:49:47,enp0s31f6,0.100,4.915
15:49:47,enx0c3796ba2d6a,0.114,5.238
15:49:47,enx0c3796ba2d67,0.096,4.301
15:49:48,enp0s31f6,0.072,3.580
15:49:48,enx0c3796ba2d6a,0.073,3.326
15:49:48,enx0c3796ba2d67,0.093,4.275
15:49:49,enp0s31f6,0.100,4.829
15:49:49,enx0c3796ba2d6a,0.116,5.257
15:49:49,enx0c3796ba2d67,0.099,4.267
15:49:50,enp0s31f6,0.073,3.587
15:49:50,enx0c3796ba2d6a,0.072,3.313
15:49:50,enx0c3796ba2d67,0.095,4.268
15:49:51,enp0s31f6,0.102,4.709
15:49:51,enx0c3796ba2d6a,0.101,4.653
15:49:51,enx0c3796ba2d67,0.087,3.971
15:49:52,enp0s31f6,0.077,3.640
15:49:52,enx0c3796ba2d6a,0.077,3.474
