wall_time,iface,tx_mbps
19:11:28,tailscale0,5.038
19:11:29,tailscale0,3.481
19:11:30,tailscale0,4.886
19:11:31,tailscale0,3.478
19:11:32,tailscale0,4.736
19:11:33,tailscale0,3.478
19:11:34,tailscale0,5.018
19:11:35,tailscale0,3.387
19:11:36,tailscale0,4.988
19:11:37,tailscale0,3.384
19:11:38,tailscale0,4.994
19:11:39,tailscale0,3.421
19:11:40,tailscale0,4.716
19:11:41,tailscale0,3.428
19:11:42,tailscale0,4.954
19:11:43,tailscale0,3.350
19:11:44,tailscale0,4.801
19:11:45,tailscale0,3.396
19:11:46,tailscale0,5.117
19:11:47,tailscale0,3.416
19:11:48,tailscale0,4.788
19:11:49,tailscale0,3.403
19:11:50,tailscale0,4.913
19:11:51,tailscale0,3.391
19:11:52,tailscale0,4.966
19:11:53,tailscale0,3.291
19:11:54,tailscale0,4.986
19:11:55,tailscale0,3.406
19:11:56,tailscale0,4.792
19:11:57,tailscale0,3.429
19:11:58,tailscale0,4.961
19:11:59,tailscale0,3.388
19:12:00,tailscale0,4.917
19:12:01,tailscale0,3.372
19:12:02,tailscale0,4.941
19:12:03,tailscale0,3.384
19:12:04,tailscale0,4.889
19:12:05,tailscale0,3.427
