time_ns,gst_buffer_pts_ns,stage
1775909097305265894,16137853016,post_depay
1775909097314940608,16137943128,post_decode
1775909097345224442,16177900768,post_depay
1775909097351603462,16177949188,post_decode
1775909097384953893,16217508411,post_depay
1775909097393366930,16217613182,post_decode
1775909097417818583,16250445939,post_depay
1775909097423780313,16250510936,post_decode
1775909097467005007,16294273126,post_depay
1775909097475868596,16299597145,post_decode
1775909097518958450,16338914680,post_depay
1775909097533710477,16351228600,post_decode
1775909097548586356,16377084852,post_depay
1775909097552846691,16381278628,post_decode
1775909097579331997,16411920393,post_depay
1775909097586309150,16412003608,post_decode
1775909097623824551,16456382497,post_depay
1775909097631232818,16456491806,post_decode
1775909097663780320,16496313813,post_depay
1775909097671023315,16496460483,post_decode
1775909097704611790,16537133561,post_depay
1775909097714992238,16537270775,post_decode
1775909097737727130,16570315298,post_depay
1775909097746180052,16570408593,post_decode
1775909097784898512,16617511006,post_depay
1775909097790992642,16617586163,post_decode
1775909097826817058,16659428300,post_depay
1775909097834383562,16659505545,post_decode
1775909097865842773,16698389110,post_depay
1775909097873630311,16698503980,post_decode
1775909097905481143,16737117248,post_depay
1775909097911730086,16738155290,post_decode
1775909097938607610,16771167195,post_depay
1775909097946566892,16771274643,post_decode
1775909097994887424,16827356811,post_depay
1775909098007874182,16827506192,post_decode
1775909098024842978,16856493607,post_depay
1775909098038238674,16857477794,post_decode
1775909098065572284,16897061369,post_depay
1775909098074805385,16898212013,post_decode
1775909098129871880,16958945143,post_depay
1775909098144793793,16962418878,post_decode
1775909098156537185,16989153713,post_depay
1775909098161821566,16989219000,post_decode
1775909098198527617,17031007949,post_depay
1775909098205062226,17031158352,post_decode
1775909098218684727,17051342586,post_depay
1775909098222650301,17051384723,post_decode
1775909098281984264,17114384073,post_depay
1775909098293943094,17114562843,post_decode
1775909098312622941,17145194285,post_depay
1775909098318911212,17145293468,post_decode
1775909098345474637,17178082699,post_depay
1775909098351104637,17178152459,post_decode
1775909098380341926,17212404402,post_depay
1775909098391556809,17212689783,post_decode
1775909098424817242,17257183850,post_depay
1775909098433469298,17257479381,post_decode
1775909098465015765,17297663526,post_depay
1775909098475031242,17297736623,post_decode
1775909098505226221,17337838424,post_depay
1775909098513431347,17337923294,post_decode
1775909098540218492,17372738775,post_depay
1775909098547317677,17372852904,post_decode
1775909098583116237,17415732993,post_depay
1775909098590567494,17415803211,post_decode
1775909098624987321,17457659449,post_depay
1775909098629486842,17457707398,post_decode
1775909098665515949,17497136779,post_depay
1775909098675588536,17498200250,post_decode
1775909098698296122,17530655132,post_depay
1775909098710098066,17530846621,post_decode
1775909098744376998,17576321415,post_depay
1775909098753843880,17577013378,post_decode
1775909098800879135,17632946315,post_depay
1775909098811868737,17633154126,post_decode
1775909098827772921,17660391111,post_depay
1775909098834494776,17660467142,post_decode
1775909098861026966,17693631964,post_depay
1775909098868913170,17693717523,post_decode
1775909098913031771,17745074337,post_depay
1775909098922394996,17745496015,post_decode
1775909098948236545,17780840181,post_depay
1775909098953695777,17780907154,post_decode
1775909098995603809,17828238746,post_depay
1775909099000355724,17828303810,post_decode
1775909099018164356,17850668680,post_depay
1775909099024523758,17850803308,post_decode
1775909099066713418,17896613555,post_depay
1775909099074548867,17899386141,post_decode
1775909099104802010,17937472079,post_depay
1775909099108001111,17937518028,post_decode
1775909099148898228,17978825842,post_depay
1775909099157197858,17981554283,post_decode
1775909099201674631,18030229146,post_depay
1775909099211443337,18034299816,post_decode
1775909099226088608,18055993297,post_depay
1775909099230543354,18058803605,post_decode
1775909099265453309,18097326108,post_depay
1775909099271124006,18098142447,post_decode
1775909099307790243,18139786328,post_depay
1775909099316314212,18140452299,post_decode
1775909099337456232,18170049519,post_depay
1775909099344127962,18170137840,post_decode
1775909099385170697,18217768288,post_depay
1775909099389619316,18217841708,post_decode
1775909099428496581,18257583823,post_depay
1775909099435371994,18261164748,post_decode
1775909099466293283,18298914843,post_depay
1775909099474381366,18298985560,post_decode
1775909099498681734,18330850720,post_depay
1775909099506917697,18331040629,post_decode
1775909099541797905,18374413775,post_depay
1775909099547593194,18374492573,post_decode
1775909099584409065,18416957725,post_depay
1775909099595076685,18417072471,post_decode
1775909099629895076,18460256542,post_depay
1775909099638218704,18462562569,post_decode
1775909099659535479,18492090638,post_depay
1775909099667281948,18492203192,post_decode
1775909099706704101,18539260428,post_depay
1775909099716470226,18539364840,post_decode
1775909099746950939,18579427047,post_depay
1775909099756469074,18579591794,post_decode
1775909099786069265,18618583252,post_depay
1775909099794962210,18618717506,post_decode
1775909099818133039,18650806947,post_depay
1775909099822592170,18650864203,post_decode
1775909099866813787,18696157311,post_depay
1775909099874754381,18699408701,post_decode
1775909099907428897,18739030995,post_depay
1775909099915412786,18740095061,post_decode
1775909099948088134,18777964171,post_depay
1775909099955701284,18780763676,post_decode
1775909099994482796,18826957077,post_depay
1775909100005474235,18827109928,post_decode
1775909100035129233,18866616937,post_depay
1775909100043679776,18867529498,post_decode
1775909100065465749,18897944708,post_depay
1775909100072233292,18898157966,post_decode
1775909100129117763,18956133697,post_depay
1775909100145255765,18961636018,post_decode
1775909100156887368,18989542116,post_depay
1775909100159288325,18989571511,post_decode
1775909100194726149,19027301629,post_depay
1775909100202049546,19027349589,post_decode
1775909100225659609,19058324469,post_depay
1775909100229371941,19058367423,post_decode
1775909100266377490,19099007732,post_depay
1775909100273218324,19099075152,post_decode
1775909100298958464,19131477906,post_depay
1775909100308284698,19131576492,post_decode
1775909100340917445,19173205268,post_depay
1775909100347733129,19173636337,post_decode
1775909100383468835,19215604556,post_depay
1775909100387577781,19216157759,post_decode
1775909100427026418,19259609414,post_depay
1775909100434955173,19259703139,post_decode
1775909100465631089,19297924027,post_depay
1775909100472869554,19298267288,post_decode
1775909100504736703,19337335680,post_depay
1775909100509453993,19337418623,post_decode
1775909100547960753,19380636428,post_depay
1775909100551212390,19380678294,post_decode
1775909100584373689,19417013436,post_depay
1775909100593213448,19417074983,post_decode
1775909100627540818,19460160967,post_depay
1775909100635563846,19460235938,post_decode
1775909100661732876,19494294620,post_depay
1775909100671122951,19494400508,post_decode
1775909100710425247,19538341028,post_depay
1775909100720688988,19543090919,post_decode
1775909100745923815,19578454336,post_depay
1775909100750717143,19578595990,post_decode
1775909100797011081,19626310996,post_depay
1775909100806694372,19629661252,post_decode
1775909100834015360,19666236603,post_depay
1775909100845163531,19666599626,post_decode
1775909100891986056,19701252992,post_depay
1775909100901228154,19724613817,post_decode
1775909100909607897,19742196237,post_depay
1775909100916560967,19742291690,post_decode
1775909100947558016,19780064402,post_depay
1775909100958078437,19780235377,post_decode
1775909100982744566,19812514299,post_depay
1775909100992985712,19815375755,post_decode
1775909101024085535,19856086778,post_depay
1775909101029058712,19856779790,post_decode
1775909101066506375,19898112815,post_depay
1775909101073851550,19899177394,post_decode
1775909101107888592,19940470584,post_depay
1775909101114409995,19940553213,post_decode
1775909101140797892,19973226594,post_depay
1775909101148728652,19973404096,post_decode
1775909101191793868,20024431954,post_depay
1775909101196882527,20024497940,post_decode
1775909101228488910,20061154942,post_depay
1775909101232031039,20061204017,post_decode
1775909101268865449,20101411864,post_depay
1775909101275380475,20101534122,post_decode
1775909101300932949,20132763963,post_depay
1775909101308620223,20133580995,post_decode
1775909101344754994,20177224027,post_depay
1775909101354654053,20177377642,post_decode
1775909101387630490,20220161579,post_depay
