time_ns,gst_buffer_pts_ns,frame_seq,stage
39787134969418,28695904006,285,post_decode
39787138430311,28709256741,286,post_depay
39787148019200,28709337869,287,post_decode
39787151492501,28722285064,288,post_depay
39787161591888,28722396249,289,post_decode
39787165119018,28735830141,290,post_depay
39787174590156,28735992962,291,post_decode
39787177900343,28748709163,292,post_depay
39787187091834,28748805738,293,post_decode
39787191603381,28762343517,294,post_depay
39787203268332,28762470259,295,post_decode
39787278160257,28778715384,296,post_depay
39787287639649,28849014517,297,post_decode
39787322889551,28862380329,298,post_depay
39787334807130,28893048548,299,post_decode
39787338264510,28908581881,300,post_depay
39787347078986,28908664629,301,post_decode
39787350387888,28920690671,302,post_depay
39787358896979,28920785824,303,post_decode
39787362294039,28932580029,304,post_depay
39787370822974,28932680154,305,post_decode
39787403737426,28944718294,306,post_depay
39787416022194,28974088234,307,post_decode
39787420262244,28990488273,308,post_depay
39787433239846,28990629721,309,post_decode
39787437415497,29007653910,310,post_depay
39787446934320,29007776944,311,post_decode
39787538359041,29020425878,312,post_depay
39787557639403,29108608818,313,post_decode
39787563670010,29134555862,314,post_depay
39787578517090,29134751017,315,post_decode
39787583925165,29154887880,316,post_depay
39787598637472,29155019918,317,post_decode
39787605608562,29176358636,318,post_depay
39787623984352,29176600489,319,post_decode
39787629352936,29200071314,320,post_depay
39787649745854,29200368891,321,post_decode
39787732584890,29228627842,322,post_depay
39787743944395,29303667659,323,post_decode
39787750074558,29321038003,324,post_depay
39787765430727,29321177203,325,post_decode
39787774787578,29345732021,326,post_depay
39787786142325,29345888717,327,post_decode
39787793831789,29364788791,328,post_depay
39787806569489,29364921379,329,post_decode
39787883193259,29380830952,330,post_depay
39787896845424,29453080623,331,post_decode
39787943568548,29511055742,332,post_depay
39787955385866,29513278534,333,post_decode
39787959077405,29528850557,334,post_depay
39787970720075,29528943918,335,post_decode
39787976137307,29545878696,336,post_depay
39787996103266,29546050224,337,post_decode
39788014752595,29581215660,338,post_depay
39788029493797,29584695545,339,post_decode
39788035575152,29605402662,340,post_depay
39788045335808,29605537902,341,post_decode
39788052391367,29622606899,342,post_depay
39788062712760,29622719309,343,post_decode
39788066411893,29636661253,344,post_depay
39788077042462,29636762302,345,post_decode
39788165814913,29651015146,346,post_depay
39788178064055,29736002435,347,post_decode
39788213972621,29751885823,348,post_depay
39788226125868,29784158121,349,post_decode
39788230317978,29800527640,350,post_depay
39788241815425,29800665896,351,post_decode
39788451065673,30018053874,352,post_depay
39788459007472,30029381031,353,post_depay
39788479342556,30037074366,354,post_depay
39788486618201,30056968298,355,post_depay
39788624298187,30065132689,356,post_depay
39788631642395,30161852623,357,post_depay
39788718701987,30169629623,358,post_depay
39788726682137,30256894584,359,post_depay
39788733487917,30263746096,360,post_depay
39788740055854,30270337134,361,post_depay
39788798823504,30276360524,362,post_depay
39788806443749,30336611547,363,post_depay
39788813628439,30343884494,364,post_depay
39788819614890,30349889315,365,post_depay
39788824507252,30354797064,366,post_depay
39788889359537,30431298124,367,post_depay
39788903356405,30467774881,368,post_depay
39788911815422,30481554030,369,post_depay
39789025883394,30487670038,370,post_depay
