wall_time,cam_index,pipeline_ms
10:25:37.958,0,5992.2172
10:25:37.995,2,6144.1956
10:25:38.000,1,6033.8607
10:25:38.000,0,6011.1198
10:25:38.015,2,6109.5302
10:25:38.021,1,5978.6594
10:25:38.086,1,6017.6315
10:25:38.086,2,6162.9812
10:25:38.111,2,6142.3091
10:25:38.114,1,6007.2845
10:25:38.121,0,6051.9818
10:25:38.124,0,6050.8180
10:25:38.139,0,6020.9452
10:25:38.142,2,6087.1238
10:25:38.145,1,6016.1329
10:25:38.148,0,5975.0180
10:25:38.176,2,6107.8207
10:25:38.205,1,6025.8417
10:25:38.210,0,6026.0873
10:25:38.212,1,5930.6685
10:25:38.217,2,6110.0448
10:25:38.236,0,5954.9480
10:25:38.286,2,6157.3355
10:25:38.294,1,6010.7682
10:25:38.294,0,6011.6158
10:25:38.295,2,6116.7977
10:25:38.303,1,6016.5652
10:25:38.308,0,5997.4051
10:25:38.359,2,6149.2048
10:25:38.365,0,6019.5071
10:25:38.365,1,6019.7597
10:25:38.378,2,6095.0068
10:25:38.384,1,6011.5863
10:25:38.426,0,6009.3781
10:25:38.428,2,6137.1345
10:25:38.431,1,6014.7578
10:25:38.436,0,6008.1136
10:25:38.455,2,6114.1406
10:25:38.461,1,6016.6064
10:25:38.483,0,6004.4297
10:25:38.497,1,6008.7912
10:25:38.497,2,6129.3768
10:25:38.516,0,6013.8701
10:25:38.556,2,6139.8534
10:25:38.560,1,6015.1466
10:25:38.561,0,6015.4391
10:25:38.570,2,6120.3542
10:25:38.575,1,6002.8081
10:25:38.630,0,6015.3100
10:25:38.630,2,6145.8954
10:25:38.630,1,6015.7477
10:25:38.638,0,6008.2108
10:25:38.659,2,6113.3786
10:25:38.661,1,5986.8575
10:25:38.671,0,5997.1035
10:25:38.715,2,6146.9797
10:25:38.721,0,6018.8321
10:25:38.721,1,6028.5784
10:25:38.728,2,6114.2377
10:25:38.735,1,5996.1316
10:25:38.787,0,6041.5251
10:25:38.789,2,6146.2061
10:25:38.794,1,6027.5111
10:25:38.811,0,6004.5401
10:25:38.816,2,6125.6873
10:25:38.818,1,6002.7574
10:25:38.862,0,6027.9425
10:25:38.864,2,6125.6590
10:25:38.864,1,5991.0774
10:25:38.871,0,5997.6139
10:25:38.916,0,5970.0957
10:25:38.917,1,6022.0521
10:25:38.920,2,6150.0566
10:25:38.987,0,6037.8875
10:25:38.987,1,6040.6433
10:25:39.019,0,5997.1460
10:25:39.019,1,6004.5835
10:25:39.038,2,6230.6837
10:25:39.041,2,6172.2266
10:25:39.063,2,6168.8056
10:25:39.066,2,6047.1477
10:25:39.158,2,6136.9729
10:25:39.161,0,5977.8088
10:25:39.161,1,5980.9928
10:25:39.164,2,6142.7836
10:25:39.167,1,5986.4015
10:25:39.167,0,5983.0045
10:25:39.213,1,5981.8829
10:25:39.216,2,6064.5150
10:25:39.219,2,6043.2053
10:25:39.219,0,5987.5770
10:25:39.224,1,5990.9642
10:25:39.237,0,6004.2602
10:25:39.272,2,6087.5822
10:25:39.276,1,6030.5469
10:25:39.279,0,6033.4558
10:25:39.294,1,6040.4320
10:25:39.297,2,6065.0408
10:25:39.346,0,6067.6173
10:25:39.346,1,6049.2722
10:25:39.350,2,6109.8163
10:25:39.353,0,6051.7227
10:25:39.368,2,6117.9368
10:25:39.379,1,6002.0283
10:25:39.439,0,6062.1049
10:25:39.441,2,6147.3313
10:25:39.441,1,6062.8286
10:25:39.445,0,6054.9415
10:25:39.452,1,6019.5047
10:25:39.455,2,6079.1035
10:25:39.485,0,6052.0938
10:25:39.500,2,6122.5892
10:25:39.500,1,6045.4575
10:25:39.513,0,6051.0585
10:25:39.551,2,6117.7125
10:25:39.556,0,6047.5298
10:25:39.556,1,6058.2870
10:25:39.573,2,6119.2701
10:25:39.580,1,6051.1083
10:25:39.623,0,6046.9075
10:25:39.628,2,6131.6793
10:25:39.629,1,6049.4376
10:25:39.637,0,6045.7353
10:25:39.657,2,6127.9403
10:25:39.659,1,5997.5462
10:25:39.690,0,6026.9523
10:25:39.698,2,6121.5842
10:25:39.703,1,6039.6775
10:25:39.715,0,6047.6377
10:25:39.755,2,6098.0075
10:25:39.756,1,6063.3349
10:25:39.759,0,6049.6463
10:25:39.777,2,6113.0184
10:25:39.777,1,6043.7505
10:25:39.818,0,6037.8725
10:25:39.818,1,6030.0736
10:25:39.818,2,6131.0587
