wall_time,cam_index,decoder_ms
15:24:41.675,2,3.9799
15:24:41.676,1,23483.4085
15:24:41.703,0,24380.8198
15:24:41.708,1,23493.9005
15:24:41.782,2,3.9261
15:24:41.783,0,24400.7133
15:24:41.783,1,23519.0968
15:24:41.791,0,24329.2915
15:24:41.791,2,7.7140
15:24:41.795,1,23476.8771
15:24:41.798,2,6.0547
15:24:41.831,1,23500.1375
15:24:41.832,2,3.7901
15:24:41.862,1,23490.4343
15:24:41.919,2,3.2815
15:24:41.931,2,3.3787
15:24:41.932,1,23512.5986
15:24:41.941,2,3.3225
15:24:41.941,0,24474.5789
15:24:41.946,0,24456.5115
15:24:41.951,0,24434.3830
15:24:41.956,0,24394.7916
15:24:41.959,1,23483.8455
15:24:41.980,0,24366.7222
15:24:41.993,2,3.6391
15:24:41.993,1,23504.0313
15:24:42.020,0,24360.2783
15:24:42.021,1,23485.6461
15:24:42.031,2,3.3483
15:24:42.047,0,24362.9284
15:24:42.083,1,23492.3252
15:24:42.088,2,4.9690
15:24:42.098,0,24360.0250
15:24:42.118,2,3.4008
15:24:42.133,1,23511.0295
15:24:42.142,0,24384.5546
15:24:42.148,2,4.5842
15:24:42.165,1,23480.3676
15:24:42.171,0,24234.8746
15:24:42.189,1,23484.9339
15:24:42.196,2,4.9043
15:24:42.212,0,24258.4778
15:24:42.244,1,23459.6215
15:24:42.244,2,4.9191
15:24:42.261,0,24304.8741
15:24:42.264,2,3.5393
15:24:42.270,1,23480.8546
15:24:42.302,0,24342.8405
15:24:42.313,1,23277.9144
15:24:42.316,2,4.4121
15:24:42.329,0,24327.8413
15:24:42.356,1,23301.1228
15:24:42.361,2,3.9808
15:24:42.375,0,24324.0325
15:24:42.395,1,23337.3135
15:24:42.414,2,4.2572
15:24:42.425,0,24298.3064
15:24:42.425,2,3.1045
15:24:42.430,1,23364.7934
15:24:42.449,0,24317.1930
15:24:42.495,0,24329.0553
15:24:42.495,2,4.3155
15:24:42.496,1,23394.6945
15:24:42.507,1,23344.8164
15:24:42.519,2,4.7278
15:24:42.546,0,24343.9449
15:24:42.553,1,23351.7750
15:24:42.553,2,4.6688
15:24:42.575,0,24310.8049
15:24:42.606,2,5.3913
15:24:42.616,1,23346.5380
15:24:42.616,0,24332.0058
15:24:42.630,1,23355.4185
15:24:42.637,2,7.6198
15:24:42.660,0,24342.2535
15:24:42.669,1,23352.4995
15:24:42.691,2,4.7362
15:24:42.702,0,24337.4947
15:24:42.709,1,23370.0641
15:24:42.712,2,3.8737
15:24:42.740,0,24321.6480
15:24:42.766,1,23373.8558
15:24:42.769,2,3.8461
15:24:42.774,0,24336.7627
15:24:42.795,1,23371.9138
15:24:42.998,2,18.3618
15:24:43.002,2,3.4725
15:24:43.007,2,4.6937
15:24:43.012,2,4.5886
15:24:43.104,2,4.2443
15:24:43.115,0,24639.5284
15:24:43.118,0,24583.1094
15:24:43.124,0,24559.1360
15:24:43.125,2,4.3219
15:24:43.131,2,5.3767
15:24:43.131,0,24528.7813
15:24:43.136,0,24451.7703
15:24:43.136,2,5.0493
15:24:43.141,0,24437.8253
15:24:43.145,1,23692.6095
15:24:43.148,1,23640.2129
15:24:43.150,0,24366.3581
15:24:43.153,1,23597.3656
15:24:43.157,2,3.4491
15:24:43.157,1,23564.1041
15:24:43.163,1,23544.7891
15:24:43.174,0,24383.9367
15:24:43.203,1,23543.0767
15:24:43.203,2,4.5589
15:24:43.210,0,24193.5184
15:24:43.227,1,23525.1733
15:24:43.232,2,4.8249
15:24:43.269,0,24248.6127
15:24:43.269,1,23507.2384
15:24:43.269,2,5.8546
