wall_time,cam,rtp_seq,pipeline_ms
12:52:00.872,2,18530,27.697
12:52:00.887,2,18544,0.541
12:52:00.929,1,14634,88.624
12:52:00.932,1,14644,81.173
12:52:00.956,0,21750,189.518
12:52:00.974,1,14654,82.741
12:52:00.974,0,21759,131.494
12:52:01.004,2,18569,86.740
12:52:01.005,2,18581,43.371
12:52:01.006,1,14665,74.742
12:52:01.016,0,21769,156.842
12:52:01.047,1,14676,73.738
12:52:01.047,2,18593,41.674
12:52:01.047,0,21780,144.837
12:52:01.078,2,18605,31.950
12:52:01.091,1,14686,85.566
12:52:01.091,0,21789,158.380
12:52:01.124,2,18618,45.869
12:52:01.132,1,14695,85.773
12:52:01.133,0,21799,159.817
12:52:01.164,2,18632,40.648
12:52:01.175,1,14706,83.882
12:52:01.176,0,21811,160.538
12:52:01.205,1,14717,73.710
12:52:01.207,2,18644,42.821
12:52:01.207,0,21821,160.303
12:52:01.238,2,18656,31.871
12:52:01.251,1,14726,76.467
12:52:01.253,0,21832,161.947
12:52:01.284,2,18669,45.913
12:52:01.292,1,14738,86.890
12:52:01.294,0,21843,160.599
12:52:01.325,2,18681,41.330
12:52:01.334,1,14750,83.682
12:52:01.336,0,21853,160.061
12:52:01.365,1,14762,73.682
12:52:01.367,2,18694,42.880
12:52:01.367,0,21864,160.264
12:52:01.398,2,18707,31.808
12:52:01.410,1,14774,75.876
12:52:01.413,0,21875,160.084
12:52:01.444,2,18722,45.885
12:52:01.452,1,14786,87.129
12:52:01.454,0,21884,160.058
12:52:01.485,2,18735,41.386
12:52:01.494,1,14798,84.427
12:52:01.495,0,21894,160.147
12:52:01.527,2,18746,43.006
12:52:01.528,0,21905,161.280
12:52:01.538,1,14810,86.008
12:52:01.558,2,18757,31.429
12:52:01.571,1,14819,78.238
12:52:01.573,0,21914,160.372
12:52:01.603,2,18769,45.080
12:52:01.614,1,14829,76.857
12:52:01.614,0,21924,160.912
12:52:01.645,2,18783,42.953
12:52:01.645,1,14840,74.086
12:52:01.656,0,21936,160.652
12:52:01.687,1,14852,73.602
12:52:01.687,0,21947,159.482
12:52:01.688,2,18798,43.371
12:52:01.718,2,18809,30.748
12:52:01.732,0,21958,159.140
12:52:01.732,1,14865,88.174
12:52:01.764,2,18822,45.958
12:52:01.773,1,14877,86.983
12:52:01.774,0,21969,159.534
12:52:01.804,2,18834,40.936
12:52:01.814,1,14889,82.537
12:52:01.840,0,22093,183.819
12:52:01.845,1,14900,72.881
12:52:01.847,2,18847,42.412
12:52:01.859,0,22104,171.546
12:52:01.878,2,18860,31.473
12:52:01.890,1,14910,76.838
12:52:01.899,0,22115,168.046
12:52:01.922,2,18873,44.495
12:52:01.932,0,22126,158.985
12:52:01.932,1,14921,87.875
12:52:01.964,2,18886,42.220
12:52:01.973,0,22137,134.460
12:52:01.974,1,14932,84.460
12:52:02.006,1,14944,74.227
12:52:02.007,2,18899,43.169
12:52:02.014,0,22147,155.310
12:52:02.038,2,18912,31.327
12:52:02.051,1,14956,77.687
12:52:02.056,0,22158,156.954
12:52:02.082,2,18926,44.545
12:52:02.088,0,22168,155.692
12:52:02.093,1,14971,88.250
12:52:02.124,2,18938,42.424
12:52:02.133,0,22178,160.600
12:52:02.135,1,14988,84.732
12:52:02.166,2,18950,42.287
12:52:02.169,1,15004,76.999
12:52:02.174,0,22189,160.140
12:52:02.198,2,18963,32.210
12:52:02.211,1,15016,76.726
12:52:02.216,0,22199,159.780
12:52:02.243,2,18976,44.777
12:52:02.247,0,22209,160.012
12:52:02.252,1,15032,83.170
12:52:02.284,2,18987,41.732
12:52:02.292,0,22219,159.315
12:52:02.294,1,15046,83.151
12:52:02.326,1,15059,73.748
12:52:02.327,2,19000,43.126
12:52:02.334,0,22230,160.343
12:52:02.358,2,19012,31.649
12:52:02.371,1,15073,77.771
12:52:02.376,0,22239,160.689
12:52:02.403,2,19024,44.878
12:52:02.408,0,22249,160.358
12:52:02.413,1,15087,87.457
12:52:02.445,2,19038,42.331
12:52:02.452,0,22260,160.299
12:52:02.455,1,15103,83.769
12:52:02.486,1,15117,73.418
12:52:02.488,2,19052,42.974
12:52:02.494,0,22270,160.203
12:52:02.519,2,19064,31.308
12:52:02.531,1,15131,76.744
12:52:02.536,0,22281,160.072
