wall_time,cam_index,rtp_seq,network_ms
11:23:36.562,2,56309,362.5336
11:23:36.562,0,48990,362.0518
11:23:36.596,2,56322,340.8696
11:23:36.600,1,41732,453.0300
11:23:36.605,0,49000,349.4296
11:23:36.629,1,41745,435.5188
11:23:36.633,0,49010,359.9250
11:23:36.637,2,56336,360.5343
11:23:36.674,1,41757,422.8328
11:23:36.681,0,49020,357.4971
11:23:36.681,2,56347,360.6647
11:23:36.833,0,49030,444.9230
11:23:36.889,0,49040,486.0550
11:23:36.894,0,49050,436.0451
11:23:36.911,1,41770,633.7862
11:23:36.927,1,41783,614.9151
11:23:36.931,1,41793,542.1872
11:23:36.969,0,49059,492.5297
11:23:36.984,2,56359,596.1607
11:23:36.987,1,41806,594.3863
11:23:36.988,0,49070,452.3000
11:23:36.993,1,41820,535.6528
11:23:36.999,0,49079,436.5454
11:23:36.999,2,56373,599.0861
11:23:37.001,1,41830,528.6959
11:23:37.004,2,56385,546.4041
11:23:37.007,0,49089,402.5796
11:23:37.008,1,41842,472.5077
11:23:37.011,2,56395,534.3369
11:23:37.015,0,49098,381.8653
11:23:37.018,2,56407,481.6327
11:23:37.042,0,49108,361.2471
11:23:37.042,1,41855,482.8169
11:23:37.042,2,56419,480.1444
11:23:37.125,1,41867,524.1415
11:23:37.125,2,56433,528.6521
11:23:37.125,0,49234,292.0289
11:23:37.131,1,41880,501.6156
11:23:37.131,2,56446,493.8422
11:23:37.133,0,49246,244.5810
11:23:37.148,1,41892,474.0321
11:23:37.152,2,56458,471.2185
11:23:37.155,0,49257,261.8179
11:23:37.194,1,42031,283.4375
11:23:37.200,0,49267,230.5410
11:23:37.200,2,56594,215.6188
11:23:37.252,2,56633,252.7886
11:23:37.252,1,42056,325.6569
11:23:37.252,0,49278,263.9694
11:23:37.278,1,42070,347.1307
11:23:37.284,0,49288,284.9648
11:23:37.284,2,56645,279.8541
11:23:37.327,1,42085,340.0455
11:23:37.327,2,56659,316.8598
11:23:37.327,0,49298,320.2328
11:23:37.354,1,42098,360.2894
11:23:37.383,0,49310,368.1371
11:23:37.383,2,56671,365.0185
11:23:37.395,1,42110,394.2342
11:23:37.399,0,49320,357.1731
11:23:37.399,2,56696,357.0799
11:23:37.445,1,42121,437.0915
11:23:37.445,2,56708,320.0148
11:23:37.445,0,49333,319.9266
11:23:37.468,1,42133,426.5434
11:23:37.475,2,56721,344.1024
11:23:37.526,0,49342,392.8174
11:23:37.527,1,42146,402.1176
11:23:37.527,2,56734,374.7335
11:23:37.531,0,49352,375.2930
11:23:37.557,1,42158,426.5020
11:23:37.559,0,49362,359.4271
11:23:37.560,2,56746,359.8594
11:23:37.608,1,42170,459.3446
11:23:37.608,0,49372,356.0560
11:23:37.609,2,56758,356.9656
11:23:37.662,1,42185,467.6145
11:23:37.662,2,56772,378.5482
11:23:37.663,0,49382,379.4866
11:23:37.667,1,42197,414.7529
11:23:37.672,0,49392,344.4122
11:23:37.680,2,56785,352.8922
11:23:37.729,2,56798,346.1798
11:23:37.729,1,42208,451.6068
11:23:37.793,1,42222,465.5487
11:23:37.796,2,56810,397.4131
11:23:37.796,0,49402,413.8264
11:23:37.804,1,42233,450.2244
