wall_time,cam_index,rtp_seq,network_ms,dropped
12:14:27.609,1,10914,0.0414,1
12:14:27.629,0,16662,0.0304,1
12:14:27.639,1,10926,0.0259,1
12:14:27.663,2,39273,0.0326,0
12:14:27.671,0,16672,0.0285,1
12:14:27.678,2,39284,0.0315,0
12:14:27.684,1,10937,0.0267,1
12:14:27.725,2,39296,0.0273,0
12:14:27.726,0,16682,0.0249,1
12:14:27.730,1,10948,0.0449,1
12:14:27.756,0,16692,0.0305,1
12:14:27.781,2,39308,0.1421,0
12:14:27.782,1,10959,0.0295,1
12:14:27.799,0,16702,0.0475,1
12:14:27.799,1,10970,0.0618,1
12:14:27.807,2,39320,0.0348,0
12:14:27.832,0,16713,0.0344,1
12:14:27.838,2,39332,0.0312,0
12:14:27.843,1,10982,0.0487,1
12:14:27.949,0,16841,0.1148,1
12:14:27.972,0,16850,0.0582,1
12:14:27.989,2,39463,0.1289,0
12:14:27.989,0,16863,0.0260,1
12:14:28.004,2,39476,0.0277,0
12:14:28.034,1,11120,0.0780,1
12:14:28.042,2,39489,0.0271,0
12:14:28.043,0,16873,0.0254,1
12:14:28.047,2,39502,0.1243,0
12:14:28.049,0,16884,0.0386,1
12:14:28.052,1,11134,0.0325,1
12:14:28.056,2,39515,0.0587,0
12:14:28.059,1,11148,0.0568,1
12:14:28.078,0,16895,0.0324,1
12:14:28.088,1,11186,0.0537,1
12:14:28.088,2,39528,0.0660,0
12:14:28.110,0,16905,0.0342,1
12:14:28.131,2,39541,0.0321,0
12:14:28.134,1,11197,0.0237,1
12:14:28.154,0,16916,0.0306,1
12:14:28.165,2,39554,0.0291,0
12:14:28.181,1,11210,0.0317,1
12:14:28.197,0,16928,0.0286,1
12:14:28.200,1,11222,0.0238,1
12:14:28.205,2,39568,0.0346,0
12:14:28.251,2,39581,0.2474,0
12:14:28.252,0,16939,0.1500,1
12:14:28.252,1,11236,0.0781,1
12:14:28.270,0,16948,0.0341,1
12:14:28.279,2,39594,0.0441,0
12:14:28.300,1,11248,0.0440,1
12:14:28.314,0,16958,0.0348,1
12:14:28.325,2,39605,0.0305,0
12:14:28.329,1,11261,0.0280,1
12:14:28.364,0,16969,0.0305,1
12:14:28.368,1,11274,0.0255,1
12:14:28.369,2,39618,0.0218,0
12:14:28.397,0,16979,0.0354,1
12:14:28.417,2,39630,0.0353,0
12:14:28.417,1,11285,0.0279,1
12:14:28.454,2,39642,0.2101,0
12:14:28.454,1,11296,0.1245,1
12:14:28.454,0,16989,0.0428,1
12:14:28.476,0,16999,0.0300,1
12:14:28.487,2,39655,0.0572,0
12:14:28.490,1,11308,0.0255,1
12:14:28.530,0,17010,0.1728,1
12:14:28.531,1,11321,0.1322,1
12:14:28.531,2,39667,0.0810,0
12:14:28.556,0,17020,0.0344,1
12:14:28.566,1,11333,0.0406,1
12:14:28.589,2,39679,0.0330,0
12:14:28.601,0,17031,0.0676,1
12:14:28.601,2,39691,0.0429,0
12:14:28.628,1,11345,0.0326,1
12:14:28.649,0,17042,0.0667,1
12:14:28.653,2,39705,0.0295,0
12:14:28.656,1,11357,0.0384,1
12:14:28.669,0,17053,0.0329,1
12:14:28.680,1,11368,0.0318,1
12:14:28.685,2,39717,0.0305,0
12:14:28.714,0,17062,0.0323,1
12:14:28.730,1,11380,0.0830,1
12:14:28.730,2,39729,0.0338,0
12:14:28.762,0,17072,0.1168,1
12:14:28.763,2,39742,0.0236,0
12:14:28.767,1,11392,0.0402,1
12:14:28.797,0,17082,0.0294,1
12:14:28.817,2,39754,0.0420,0
12:14:28.817,1,11404,0.0241,1
12:14:28.840,1,11416,0.1350,1
12:14:28.840,0,17093,0.0241,1
12:14:28.847,2,39766,0.0324,0
12:14:28.887,1,11428,0.0307,1
12:14:28.889,2,39778,0.0411,0
12:14:28.938,0,17205,0.3694,1
12:14:28.940,2,39792,0.0422,0
12:14:28.940,1,11440,0.0216,1
12:14:28.952,0,17215,0.0333,1
12:14:28.983,0,17228,0.1644,1
12:14:28.983,1,11452,0.1658,1
12:14:28.983,2,39804,0.0483,0
12:14:28.989,0,17239,0.0336,1
12:14:28.999,1,11464,0.0361,1
12:14:29.005,2,39816,0.0322,0
12:14:29.039,0,17251,0.0297,1
12:14:29.043,1,11476,0.0278,1
12:14:29.047,2,39829,0.0307,0
12:14:29.093,0,17261,0.1215,1
12:14:29.094,2,39843,0.0452,0
12:14:29.096,1,11489,0.0277,1
12:14:29.119,0,17271,0.0310,1
12:14:29.124,2,39855,0.0246,0
12:14:29.128,1,11500,0.0299,1
12:14:29.154,0,17282,0.0317,1
12:14:29.158,1,11512,0.0272,1
12:14:29.165,2,39867,0.0328,0
12:14:29.217,0,17293,0.0292,1
12:14:29.222,1,11524,0.0544,1
12:14:29.222,2,39881,0.0588,0
12:14:29.238,0,17304,0.0347,1
12:14:29.239,2,39893,0.0246,0
12:14:29.246,1,11537,0.0272,1
12:14:29.280,0,17315,0.0333,1
12:14:29.285,2,39906,0.0456,0
12:14:29.289,1,11552,0.0297,1
12:14:29.310,0,17325,0.0278,1
12:14:29.334,1,11566,0.0421,1
12:14:29.335,2,39920,0.0256,0
12:14:29.359,0,17336,0.0289,1
12:14:29.367,1,11580,0.0254,1
12:14:29.369,2,39931,0.0218,0
12:14:29.398,0,17347,0.0334,1
12:14:29.401,2,39943,0.0473,0
12:14:29.408,1,11594,0.0354,1
12:14:29.449,0,17358,0.0433,1
12:14:29.450,2,39956,0.1397,0
12:14:29.451,1,11608,0.0319,1
12:14:29.470,0,17369,0.0282,1
12:14:29.481,1,11621,0.0267,1
12:14:29.492,2,39967,0.0323,0
12:14:29.515,0,17380,0.0369,1
12:14:29.527,1,11635,0.0671,1
12:14:29.531,2,39980,0.0232,0
12:14:29.565,2,39991,0.0310,0
12:14:29.565,0,17392,0.0270,1
12:14:29.570,1,11649,0.0264,1
12:14:29.599,0,17403,0.0294,1
12:14:29.632,2,40003,0.0639,0
12:14:29.641,0,17414,0.0383,1
12:14:29.641,1,11661,0.0244,1
12:14:29.645,1,11673,0.0273,1
12:14:29.648,2,40015,0.0300,0
12:14:29.684,0,17424,0.0457,1
12:14:29.688,1,11686,0.0264,1
12:14:29.689,2,40027,0.0276,0
12:14:29.715,0,17434,0.0351,1
12:14:29.719,2,40039,0.0280,0
12:14:29.736,1,11698,0.0351,1
12:14:29.756,0,17444,0.0319,1
12:14:29.774,2,40051,0.0467,0
12:14:29.774,1,11710,0.0269,1
