wall_time,cam_index,full_ms,dropped
15:51:09.397,0,3.8706,0
15:51:09.408,2,3.1129,0
15:51:09.419,1,3.4251,0
15:51:09.435,0,3.6915,0
15:51:09.451,2,3.5879,0
15:51:09.563,1,17.2753,0
15:51:09.567,1,3.6597,0
15:51:09.593,0,16.9617,0
15:51:09.597,0,3.2459,0
15:51:09.605,0,3.9307,0
15:51:09.606,1,4.4130,0
15:51:09.612,0,5.3019,0
15:51:09.612,1,5.4119,0
15:51:09.619,1,6.0147,0
15:51:09.619,2,18.9018,0
15:51:09.623,2,4.1775,0
15:51:09.629,2,5.5254,0
15:51:09.633,0,3.2540,0
15:51:09.636,2,5.8841,0
15:51:09.647,2,3.4112,0
15:51:09.664,1,3.2092,0
15:51:09.677,0,4.1653,0
15:51:09.688,2,2.9721,0
15:51:09.703,1,3.5850,0
15:51:09.723,2,3.4292,0
15:51:09.724,0,4.0545,0
15:51:09.745,1,3.5632,0
15:51:09.751,0,3.7569,0
15:51:09.759,2,3.2052,0
15:51:09.782,1,3.3379,0
15:51:09.794,0,3.2800,0
15:51:09.806,2,3.6213,0
15:51:09.819,1,3.3301,0
15:51:09.835,0,3.9942,0
15:51:09.847,2,3.3761,0
15:51:09.862,1,3.5541,0
15:51:09.877,0,4.1030,0
15:51:09.887,2,3.5156,0
15:51:09.903,1,3.6400,0
15:51:09.919,2,3.1093,0
15:51:09.919,0,3.4394,0
15:51:09.935,1,3.5296,0
15:51:09.948,0,3.2414,0
15:51:09.965,2,3.5625,0
15:51:09.979,1,3.3148,0
15:51:09.994,0,2.9842,0
15:51:10.007,2,3.7451,0
15:51:10.022,1,3.2451,0
15:51:10.039,0,3.6544,0
15:51:10.046,2,2.9924,0
15:51:10.070,1,3.8037,0
15:51:10.076,0,2.6789,0
15:51:10.082,2,3.4277,0
15:51:10.094,1,3.3594,0
15:51:10.111,0,4.0682,0
15:51:10.129,2,3.7227,0
15:51:10.141,1,3.5333,0
15:51:10.154,0,3.4339,0
15:51:10.166,2,3.3062,0
15:51:10.180,1,3.4509,0
15:51:10.193,0,2.8167,0
15:51:10.206,2,3.2671,0
15:51:10.222,1,3.0497,0
15:51:10.237,0,3.6708,0
15:51:10.242,2,3.4174,0
15:51:10.268,1,3.6677,0
15:51:10.281,0,3.1776,0
15:51:10.286,2,3.4901,0
15:51:10.298,1,3.1029,0
15:51:10.310,0,3.0014,0
15:51:10.324,2,3.0737,0
15:51:10.346,1,3.2524,0
15:51:10.359,0,3.9647,0
15:51:10.371,2,3.6985,0
15:51:10.384,1,4.3695,0
15:51:10.406,0,4.3011,0
15:51:10.406,2,4.1839,0
15:51:10.427,1,3.4568,0
15:51:10.438,0,3.2244,0
15:51:10.445,2,3.9408,0
15:51:10.457,1,3.6855,0
15:51:10.491,2,3.4301,0
15:51:10.501,1,3.1137,0
15:51:10.568,2,4.5540,0
15:51:10.569,1,4.7968,0
15:51:10.575,0,16.7617,0
15:51:10.576,2,6.6289,0
15:51:10.580,0,4.3649,0
15:51:10.585,0,4.3940,0
15:51:10.585,1,4.6506,0
15:51:10.595,0,3.4053,0
15:51:10.607,2,3.8072,0
15:51:10.614,1,3.4192,0
15:51:10.635,0,3.8339,0
15:51:10.646,2,3.0474,0
15:51:10.661,1,3.1612,0
15:51:10.675,0,4.0715,0
15:51:10.687,2,3.5767,0
15:51:10.702,1,3.0006,0
15:51:10.717,0,3.1923,0
15:51:10.719,2,4.8735,0
15:51:10.747,1,3.3462,0
15:51:10.752,0,3.1985,0
15:51:10.771,2,4.7954,0
15:51:10.781,1,3.6271,0
15:51:10.795,0,4.0909,0
15:51:10.806,2,2.9408,0
15:51:10.823,1,4.2410,0
15:51:10.839,0,3.9397,0
15:51:10.850,2,3.3756,0
15:51:10.863,1,3.4085,0
15:51:10.880,0,3.1756,0
15:51:10.887,2,3.8922,0
15:51:10.911,1,3.3981,0
15:51:10.919,0,3.9295,0
15:51:10.931,2,3.4893,0
15:51:10.936,1,4.1854,0
15:51:10.949,0,3.8789,0
15:51:10.969,2,3.5587,0
15:51:10.982,1,2.8650,0
15:51:10.995,0,4.0792,0
15:51:11.007,2,3.4311,0
15:51:11.022,1,3.4453,0
15:51:11.034,0,2.8884,0
15:51:11.041,2,3.3285,0
15:51:11.064,1,3.2432,0
15:51:11.077,0,3.8836,0
15:51:11.082,2,3.3895,0
15:51:11.100,1,4.2375,0
15:51:11.117,0,3.5248,0
15:51:11.128,2,3.6153,0
15:51:11.146,1,4.1688,0
15:51:11.151,0,3.4500,0
15:51:11.171,2,3.2970,0
15:51:11.183,1,3.9163,0
15:51:11.194,0,3.2258,0
15:51:11.201,2,3.3911,0
15:51:11.224,1,3.1866,0
15:51:11.237,0,4.0393,0
15:51:11.251,2,3.6035,0
15:51:11.257,1,4.3044,0
15:51:11.275,0,3.8939,0
15:51:11.286,2,3.1252,0
15:51:11.302,1,3.2728,0
15:51:11.317,0,3.9258,0
15:51:11.333,2,3.5262,0
15:51:11.346,1,4.0378,0
15:51:11.353,0,3.9816,0
15:51:11.364,2,3.4232,0
15:51:11.391,1,3.3517,0
15:51:11.396,0,3.4113,0
15:51:11.402,2,3.3279,0
15:51:11.415,1,3.1242,0
15:51:11.436,0,3.7612,0
15:51:11.449,2,3.4914,0
15:51:11.588,0,17.8741,0
15:51:11.593,0,3.7171,0
15:51:11.602,0,3.4081,0
15:51:11.610,0,3.4717,0
15:51:11.613,2,18.3426,0
15:51:11.616,2,3.4845,0
15:51:11.622,2,5.2122,0
15:51:11.628,2,5.7069,0
15:51:11.633,0,4.2011,0
15:51:11.648,2,4.5977,0
15:51:11.678,0,3.5349,0
15:51:11.685,2,3.4985,0
15:51:11.706,0,2.7639,0
15:51:11.752,2,3.8479,0
15:51:11.757,0,3.8505,0
15:51:11.760,2,4.6595,0
15:51:11.795,0,3.1236,0
15:51:11.836,2,4.6469,0
15:51:11.842,0,3.9231,0
15:51:11.851,2,3.5199,0
15:51:11.878,0,2.6738,0
15:51:11.922,2,4.0691,0
15:51:11.936,0,3.7645,0
15:51:11.941,2,4.2067,0
15:51:11.957,0,3.1904,0
15:51:12.002,2,3.6460,0
15:51:12.015,0,3.6341,0
15:51:12.015,2,3.6850,0
15:51:12.038,0,3.3976,0
15:51:12.051,2,3.5584,0
15:51:12.095,0,3.4762,0
15:51:12.098,2,4.4697,0
15:51:12.108,0,2.6466,0
15:51:12.125,2,3.5300,0
15:51:12.179,0,3.3950,0
15:51:12.181,2,4.9897,0
15:51:12.196,0,3.0814,0
15:51:12.209,2,3.6338,0
15:51:12.261,2,3.2206,0
15:51:12.261,0,4.0085,0
15:51:12.283,0,3.2752,0
