wall_time,cam_index,rtp_seq,network_ms,dropped
15:50:07.783,2,30514,0.0165,121
15:50:07.789,1,30902,0.0189,118
15:50:07.807,0,21991,0.0160,112
15:50:07.817,2,30524,0.0321,121
15:50:07.844,1,30913,0.0169,118
15:50:07.851,0,22000,0.0181,112
15:50:07.869,2,30536,0.0183,121
15:50:07.876,1,30925,0.0360,118
15:50:07.890,0,22010,0.0188,112
15:50:07.901,2,30547,0.0340,121
15:50:07.917,1,30937,0.0183,118
15:50:07.931,0,22018,0.0244,112
15:50:07.943,2,30559,0.0185,121
15:50:07.949,1,30948,0.0204,118
15:50:07.963,0,22028,0.0448,112
15:50:07.977,2,30571,0.0370,121
15:50:07.993,1,30960,0.0886,118
15:50:08.005,0,22038,0.0188,112
15:50:08.017,2,30583,0.0214,121
15:50:08.039,1,30973,0.0214,118
15:50:08.051,0,22047,0.0194,112
15:50:08.057,2,30594,0.0178,121
15:50:08.081,1,30985,0.0210,118
15:50:08.086,0,22055,0.0209,112
15:50:08.101,2,30606,0.0184,121
15:50:08.107,1,30996,0.0201,118
15:50:08.131,0,22064,0.0819,112
15:50:08.136,2,30618,0.0375,121
15:50:08.153,1,31008,0.0404,118
15:50:08.164,0,22073,0.0448,112
15:50:08.179,2,30629,0.0193,121
15:50:08.197,1,31019,0.0197,118
15:50:08.231,0,22082,0.0178,112
15:50:08.238,2,30640,0.0384,121
15:50:08.238,1,31031,0.0407,118
15:50:08.249,0,22091,0.0398,112
15:50:08.263,2,30652,0.0377,121
15:50:08.275,1,31043,0.0340,118
15:50:08.289,0,22101,0.0891,112
15:50:08.295,2,30665,0.0191,121
15:50:08.315,1,31054,0.0184,118
15:50:08.331,0,22110,0.0207,112
15:50:08.342,2,30676,0.0290,121
15:50:08.355,1,31067,0.0206,118
15:50:08.361,0,22119,0.0368,112
15:50:08.386,2,30688,0.0309,121
15:50:08.399,1,31079,0.0204,118
15:50:08.404,0,22127,0.0181,112
15:50:08.425,2,30700,0.0165,121
15:50:08.436,1,31090,0.0205,118
15:50:08.453,2,30711,0.0319,121
15:50:08.471,1,31102,0.0167,118
15:50:08.524,0,22278,0.0876,112
15:50:08.527,2,30724,0.0345,121
15:50:08.532,1,31115,0.0450,118
15:50:08.537,2,30735,0.0465,121
15:50:08.541,0,22288,0.0241,112
15:50:08.545,0,22298,0.0321,112
15:50:08.555,1,31128,0.0223,118
15:50:08.577,0,22307,0.0175,112
15:50:08.588,2,30748,0.0199,121
15:50:08.607,0,22317,0.0778,112
15:50:08.607,1,31140,0.0278,118
15:50:08.618,2,30761,0.0226,121
15:50:08.630,1,31151,0.0477,118
15:50:08.649,0,22327,0.0375,112
15:50:08.659,2,30772,0.0326,121
15:50:08.680,1,31162,0.0369,118
15:50:08.691,0,22335,0.0358,112
15:50:08.703,2,30783,0.0200,121
15:50:08.717,1,31175,0.0390,118
15:50:08.731,0,22345,0.0386,112
15:50:08.742,2,30796,0.0180,121
15:50:08.754,1,31188,0.0212,118
15:50:08.771,0,22354,0.0352,112
15:50:08.776,2,30808,0.0425,121
15:50:08.803,1,31200,0.0331,118
15:50:08.803,0,22363,0.0308,112
15:50:08.823,2,30821,0.0197,121
15:50:08.829,1,31210,0.0167,118
15:50:08.845,0,22373,0.0157,112
15:50:08.858,2,30832,0.0160,121
15:50:08.873,1,31222,0.0191,118
15:50:08.891,0,22382,0.0166,112
15:50:08.903,2,30845,0.0222,121
15:50:08.915,1,31233,0.0375,118
15:50:08.931,0,22391,0.0278,112
15:50:08.931,2,30856,0.0325,121
