wall_time_ns,gst_buffer_pts_ns,stage
1773673361893141267,12254204349,post_depay
1773673361902380035,12254390873,post_decode
1773673361939146413,12295142346,post_depay
1773673361951912560,12300242968,post_decode
1773673361981206285,12341383433,post_depay
1773673361992976913,12342320488,post_decode
1773673362018333531,12379063711,post_depay
1773673362027535932,12379438613,post_decode
1773673362049760793,12410483552,post_depay
1773673362058997972,12410902131,post_decode
1773673362094377157,12454977159,post_depay
1773673362101886824,12455469696,post_decode
1773673362155015251,12508364986,post_depay
1773673362166931213,12516089003,post_decode
1773673362176738776,12537798331,post_depay
1773673362185165448,12537984665,post_decode
1773673362208918214,12569734584,post_depay
1773673362215761533,12570122825,post_decode
1773673362253164639,12614023601,post_depay
1773673362262183994,12614314305,post_decode
1773673362305695011,12656032718,post_depay
1773673362318591460,12666465033,post_decode
1773673362339174933,12699903914,post_depay
1773673362348905347,12700302106,post_decode
1773673362372647294,12733106376,post_depay
1773673362385216025,12733526890,post_decode
1773673362414625043,12775135321,post_depay
1773673362423902114,12775523314,post_decode
1773673362461254363,12817914083,post_depay
1773673362472985362,12822384221,post_decode
1773673362505255130,12860046344,post_depay
1773673362517021227,12866384225,post_decode
1773673362534394244,12889709926,post_depay
1773673362545393868,12895508768,post_decode
1773673362579376216,12940096710,post_depay
1773673362590974760,12940465205,post_decode
1773673362624346137,12985247991,post_depay
1773673362631721225,12985475509,post_decode
1773673362659129050,13019567970,post_depay
1773673362668588490,13020269223,post_decode
1773673362698099630,13058327463,post_depay
1773673362706381780,13059225616,post_decode
1773673362735067102,13095592005,post_depay
1773673362742737107,13096217743,post_decode
1773673362782677634,13143050481,post_depay
1773673362792381317,13143504703,post_decode
1773673362819795156,13180207816,post_depay
1773673362833012725,13180746506,post_decode
1773673362849486569,13210167352,post_depay
1773673362859968262,13210594542,post_decode
1773673362910160125,13270677891,post_depay
1773673362920370331,13271268420,post_decode
1773673362936864671,13297183566,post_depay
1773673362947204409,13297750895,post_decode
1773673362994569211,13353037873,post_depay
1773673363003411060,13355485581,post_decode
1773673363013384437,13371802738,post_depay
1773673363021167867,13374573757,post_decode
1773673363073011223,13421404507,post_depay
1773673363084814619,13433802635,post_decode
1773673363099381012,13460095198,post_depay
1773673363107500253,13460458526,post_decode
1773673363138461339,13499203369,post_depay
1773673363151469580,13499506417,post_decode
1773673363178385957,13536801328,post_depay
1773673363192231429,13539330245,post_decode
1773673363229970140,13582996937,post_depay
1773673363242990362,13591099047,post_decode
1773673363261965420,13619947786,post_depay
1773673363274733733,13623111920,post_decode
1773673363299127688,13659869530,post_depay
1773673363310830573,13660276342,post_decode
1773673363329590531,13690250712,post_depay
1773673363337724236,13690566207,post_decode
1773673363377639287,13735706001,post_depay
1773673363390242754,13738460787,post_decode
1773673363423137396,13783741991,post_depay
1773673363432349934,13784293475,post_decode
1773673363486334788,13846678491,post_depay
1773673363495100838,13847383163,post_decode
1773673363497081813,13858307278,post_depay
1773673363502952620,13858388566,post_decode
1773673363541341231,13901451715,post_depay
1773673363553292411,13902393945,post_decode
1773673363579342614,13939947711,post_depay
1773673363589967982,13940395445,post_decode
1773673363632073552,13992971485,post_depay
1773673363641554908,13993241056,post_decode
1773673363735588109,14046028148,post_depay
1773673363754395850,14096335148,post_decode
1773673363756363879,14117672017,post_depay
1773673363759319348,14117705892,post_decode
1773673363760629585,14121912252,post_depay
1773673363764072247,14121966547,post_decode
1773673363781833664,14142947554,post_depay
1773673363790922012,14143090504,post_decode
