wall_time_ns,gst_buffer_pts_ns,stage
1773150592220954469,12974307763,post_depay
1773150592262001880,13014307763,post_depay
1773150592303224733,13054307763,post_depay
1773150592334857681,13094307763,post_depay
1773150592379557050,13134307763,post_depay
1773150592461541324,13174307763,post_depay
1773150592477102993,13214307763,post_depay
1773150592502360866,13254307763,post_depay
1773150592534429174,13294307763,post_depay
1773150592579009833,13334307763,post_depay
1773150592620410228,13374307763,post_depay
1773150592661155475,13414307763,post_depay
1773150592703482949,13454307763,post_depay
1773150592734847347,13494307763,post_depay
1773150592779983872,13534307763,post_depay
1773150592820821522,13574307763,post_depay
1773150592862352313,13614307763,post_depay
1773150592894107103,13654307763,post_depay
1773150592939231410,13694307763,post_depay
1773150592980537432,13734307763,post_depay
1773150593022537595,13774307763,post_depay
1773150593054422571,13814307763,post_depay
1773150593098958225,13854307763,post_depay
1773150593140867218,13894307763,post_depay
1773150593182538241,13934307763,post_depay
1773150593214332822,13974307763,post_depay
1773150593259301509,14014307763,post_depay
1773150593300678156,14054307763,post_depay
1773150593341606941,14094307763,post_depay
1773150593383117696,14134307763,post_depay
1773150593466020938,14174307763,post_depay
1773150593475610996,14214307763,post_depay
1773150593510065202,14254307763,post_depay
1773150593541521441,14294307763,post_depay
1773150593581605645,14334307763,post_depay
1773150593622052420,14374307763,post_depay
1773150593663027119,14414307763,post_depay
1773150593694436524,14455307763,post_depay
1773150593735816863,14495307763,post_depay
1773150593780717329,14535307763,post_depay
1773150593821365962,14575307763,post_depay
1773150593862922900,14615307763,post_depay
1773150593894840221,14655307763,post_depay
1773150593939349902,14695307763,post_depay
1773150593980903858,14735307763,post_depay
1773150594023254428,14775307763,post_depay
1773150594054800555,14815307763,post_depay
1773150594099586028,14855307763,post_depay
1773150594141390114,14895307763,post_depay
1773150594182767659,14935307763,post_depay
1773150594215334728,14975307763,post_depay
1773150594259640831,15015307763,post_depay
1773150594301100685,15055307763,post_depay
1773150594342049088,15095307763,post_depay
1773150594383325805,15135307763,post_depay
1773150594468822084,15175307763,post_depay
1773150594484418345,15215307763,post_depay
1773150594503229378,15255307763,post_depay
1773150594541780569,15295307763,post_depay
1773150594583636333,15335307763,post_depay
1773150594614932092,15375307763,post_depay
1773150594659832162,15415307763,post_depay
1773150594701469313,15455307763,post_depay
1773150594743166462,15495307763,post_depay
1773150594774937048,15535307763,post_depay
1773150594819852562,15575307763,post_depay
1773150594861317409,15615307763,post_depay
1773150594903034882,15655307763,post_depay
1773150594935209063,15695307763,post_depay
1773150594980025698,15735307763,post_depay
1773150595021272150,15775307763,post_depay
1773150595063158696,15815307763,post_depay
1773150595095069886,15855307763,post_depay
1773150595140111873,15895307763,post_depay
1773150595181289297,15935307763,post_depay
1773150595223454835,15975307763,post_depay
1773150595255300066,16015307763,post_depay
1773150595300004501,16055307763,post_depay
1773150595341236348,16095307763,post_depay
1773150595383572283,16135307763,post_depay
1773150595468866035,16175307763,post_depay
1773150595508749683,16215307763,post_depay
1773150595509154780,16255307763,post_depay
1773150595542175000,16295307763,post_depay
1773150595583287231,16335307763,post_depay
1773150595623350455,16375307763,post_depay
1773150595654898267,16415307763,post_depay
1773150595696739559,16455307763,post_depay
1773150595741055454,16495307763,post_depay
1773150595781321443,16535307763,post_depay
1773150595823082541,16575307763,post_depay
1773150595855149968,16615307763,post_depay
1773150595896873245,16655307763,post_depay
1773150595941543643,16695307763,post_depay
1773150595992480245,16735307763,post_depay
1773150596022994031,16775307763,post_depay
1773150596063280661,16815307763,post_depay
1773150596104083323,16855307763,post_depay
1773150596144298831,16895307763,post_depay
1773150596175164111,16935307763,post_depay
1773150596220224751,16975307763,post_depay
1773150596261863134,17015307763,post_depay
1773150596303401226,17055307763,post_depay
1773150596335085643,17095307763,post_depay
1773150596376910881,17135307763,post_depay
1773150596459694550,17175307763,post_depay
1773150596473174688,17215307763,post_depay
1773150596501151027,17256307763,post_depay
1773150596542002958,17296307763,post_depay
1773150596584251390,17336307763,post_depay
1773150596616287399,17376307763,post_depay
1773150596661355223,17416307763,post_depay
1773150596702072742,17456307763,post_depay
1773150596744149963,17496307763,post_depay
1773150596775960038,17536307763,post_depay
1773150596820484675,17576307763,post_depay
1773150596861852372,17616307763,post_depay
1773150596904069457,17656307763,post_depay
1773150596935827935,17696307763,post_depay
1773150596980420808,17736307763,post_depay
1773150597021800351,17776307763,post_depay
1773150597064124221,17816307763,post_depay
1773150597095844318,17856307763,post_depay
1773150597140552603,17896307763,post_depay
1773150597182006138,17936307763,post_depay
1773150597224124616,17976307763,post_depay
1773150597255935078,18016307763,post_depay
1773150597300827884,18056307763,post_depay
1773150597342181631,18096307763,post_depay
1773150597384301482,18136307763,post_depay
1773150597467405465,18176307763,post_depay
1773150597478201748,18216307763,post_depay
1773150597501275620,18256307763,post_depay
1773150597542113977,18296307763,post_depay
1773150597582503407,18336307763,post_depay
1773150597623189044,18376307763,post_depay
1773150597664255690,18416307763,post_depay
1773150597696296053,18456307763,post_depay
1773150597740688997,18496307763,post_depay
1773150597782336925,18536307763,post_depay
1773150597824426981,18576307763,post_depay
1773150597856233444,18616307763,post_depay
1773150597900947228,18656307763,post_depay
1773150597942383767,18696307763,post_depay
1773150597983108489,18736307763,post_depay
1773150598024350096,18776307763,post_depay
1773150598056303415,18816307763,post_depay
1773150598097719014,18856307763,post_depay
1773150598142566451,18896307763,post_depay
1773150598184466727,18936307763,post_depay
1773150598216884993,18976307763,post_depay
1773150598261740895,19016307763,post_depay
1773150598302977953,19056307763,post_depay
1773150598344637805,19096307763,post_depay
1773150598376379447,19136307763,post_depay
1773150598456204180,19176307763,post_depay
1773150598480123067,19216307763,post_depay
1773150598502146134,19256307763,post_depay
1773150598543238118,19296307763,post_depay
1773150598583624142,19336307763,post_depay
1773150598624236176,19376307763,post_depay
1773150598656270230,19416307763,post_depay
1773150598700474476,19456307763,post_depay
1773150598742571521,19496307763,post_depay
1773150598783449873,19536307763,post_depay
1773150598824858731,19576307763,post_depay
1773150598856453872,19616307763,post_depay
1773150598900737099,19656307763,post_depay
1773150598942858825,19696307763,post_depay
1773150598984789618,19736307763,post_depay
1773150599016628262,19776307763,post_depay
1773150599061047176,19816307763,post_depay
1773150599102980735,19856307763,post_depay
1773150599145212328,19896307763,post_depay
1773150599176447666,19936307763,post_depay
1773150599221233771,19976307763,post_depay
1773150599262860871,20017307763,post_depay
1773150599305028209,20057307763,post_depay
1773150599336953428,20097307763,post_depay
1773150599381502272,20137307763,post_depay
1773150599465364996,20177307763,post_depay
1773150599496274669,20217307763,post_depay
1773150599504883199,20257307763,post_depay
1773150599536890392,20297307763,post_depay
1773150599581805401,20337307763,post_depay
1773150599623020607,20377307763,post_depay
1773150599665105003,20417307763,post_depay
1773150599696896836,20457307763,post_depay
1773150599741731014,20497307763,post_depay
1773150599782781539,20537307763,post_depay
1773150599825590534,20577307763,post_depay
1773150599856844643,20617307763,post_depay
1773150599901929967,20657307763,post_depay
1773150599943016080,20697307763,post_depay
1773150599985119069,20737307763,post_depay
1773150600016719281,20777307763,post_depay
1773150600061495451,20817307763,post_depay
1773150600103156501,20857307763,post_depay
1773150600145283800,20897307763,post_depay
1773150600177035001,20937307763,post_depay
1773150600222511672,20977307763,post_depay
1773150600263200077,21017307763,post_depay
1773150600305078377,21057307763,post_depay
1773150600337038488,21097307763,post_depay
1773150600382214689,21137307763,post_depay
1773150600468886814,21177307763,post_depay
1773150600477616248,21217307763,post_depay
1773150600528796254,21257307763,post_depay
1773150600537046278,21297307763,post_depay
1773150600582176353,21337307763,post_depay
1773150600623226632,21377307763,post_depay
1773150600665744404,21417307763,post_depay
1773150600697289035,21457307763,post_depay
1773150600742063787,21497307763,post_depay
1773150600783401656,21537307763,post_depay
1773150600825537708,21577307763,post_depay
1773150600857297376,21617307763,post_depay
1773150600902117130,21657307763,post_depay
1773150600943420848,21697307763,post_depay
1773150600985548091,21737307763,post_depay
1773150601017167479,21777307763,post_depay
1773150601062193765,21817307763,post_depay
1773150601103548990,21857307763,post_depay
1773150601145500752,21897307763,post_depay
1773150601177377031,21937307763,post_depay
1773150601222284852,21977307763,post_depay
1773150601263706697,22017307763,post_depay
1773150601305558347,22057307763,post_depay
1773150601337476151,22097307763,post_depay
1773150601382275298,22137307763,post_depay
1773150601465147271,22177307763,post_depay
1773150601473499575,22217307763,post_depay
1773150601505686522,22257307763,post_depay
1773150601537305705,22297307763,post_depay
1773150601582538611,22337307763,post_depay
1773150601624194867,22377307763,post_depay
1773150601665615808,22417307763,post_depay
1773150601697402834,22457307763,post_depay
1773150601742710540,22497307763,post_depay
1773150601783926910,22537307763,post_depay
1773150601825848446,22577307763,post_depay
1773150601857630772,22617307763,post_depay
1773150601902521714,22657307763,post_depay
1773150601943721177,22697307763,post_depay
1773150601985894750,22737307763,post_depay
1773150602017823896,22777307763,post_depay
1773150602063124977,22818307763,post_depay
1773150602103867011,22858307763,post_depay
1773150602146000558,22898307763,post_depay
1773150602177830138,22938307763,post_depay
1773150602223080178,22978307763,post_depay
1773150602263853694,23018307763,post_depay
1773150602305895236,23058307763,post_depay
1773150602337760171,23098307763,post_depay
1773150602379352638,23138307763,post_depay
1773150602458067035,23178307763,post_depay
1773150602491176022,23218307763,post_depay
1773150602506842479,23258307763,post_depay
1773150602547728594,23298307763,post_depay
1773150602578007703,23338307763,post_depay
1773150602622202979,23378307763,post_depay
1773150602664071168,23418307763,post_depay
1773150602705196182,23458307763,post_depay
1773150602746099198,23498307763,post_depay
1773150602778096140,23538307763,post_depay
1773150602822701339,23578307763,post_depay
1773150602864703584,23618307763,post_depay
1773150602905099031,23658307763,post_depay
1773150602946256940,23698307763,post_depay
1773150602978302540,23738307763,post_depay
1773150603022167635,23778307763,post_depay
1773150603064200172,23818307763,post_depay
1773150603104896150,23858307763,post_depay
1773150603146626398,23898307763,post_depay
1773150603178295546,23938307763,post_depay
1773150603223007271,23978307763,post_depay
1773150603264040059,24018307763,post_depay
1773150603306310927,24058307763,post_depay
1773150603338322738,24098307763,post_depay
1773150603383093149,24138307763,post_depay
1773150603457532182,24178307763,post_depay
1773150603485241850,24218307763,post_depay
1773150603505121134,24258307763,post_depay
1773150603546458728,24298307763,post_depay
1773150603578036252,24338307763,post_depay
1773150603623058347,24378307763,post_depay
1773150603664349138,24418307763,post_depay
1773150603705066059,24458307763,post_depay
1773150603746219536,24498307763,post_depay
1773150603778081161,24538307763,post_depay
1773150603823634631,24578307763,post_depay
1773150603864588308,24618307763,post_depay
1773150603906452171,24658307763,post_depay
1773150603938249154,24698307763,post_depay
1773150603983137253,24738307763,post_depay
1773150604024879539,24778307763,post_depay
1773150604066967826,24818307763,post_depay
1773150604098893983,24858307763,post_depay
1773150604144117090,24898307763,post_depay
1773150604185048094,24938307763,post_depay
1773150604226738160,24978307763,post_depay
1773150604258815067,25018307763,post_depay
1773150604303180420,25058307763,post_depay
1773150604344894378,25098307763,post_depay
1773150604387159486,25138307763,post_depay
1773150604450510014,25178307763,post_depay
1773150604473544319,25218307763,post_depay
1773150604514235243,25258307763,post_depay
1773150604544842095,25298307763,post_depay
1773150604585247029,25338307763,post_depay
1773150604625967629,25378307763,post_depay
1773150604667076400,25418307763,post_depay
1773150604699069611,25458307763,post_depay
1773150604744199345,25498307763,post_depay
1773150604784886788,25538307763,post_depay
1773150604827120395,25578307763,post_depay
1773150604858942317,25619307763,post_depay
1773150604904308545,25659307763,post_depay
1773150604945299940,25699307763,post_depay
1773150604986854102,25739307763,post_depay
1773150605018741448,25779307763,post_depay
1773150605063156413,25819307763,post_depay
1773150605105367375,25859307763,post_depay
1773150605147012289,25899307763,post_depay
1773150605179254196,25939307763,post_depay
1773150605224936361,25979307763,post_depay
1773150605265035153,26019307763,post_depay
1773150605307164508,26059307763,post_depay
1773150605339265853,26099307763,post_depay
1773150605384469842,26139307763,post_depay
1773150605441099215,26179307763,post_depay
1773150605466009317,26219307763,post_depay
1773150605507169482,26259307763,post_depay
1773150605547204662,26299307763,post_depay
1773150605588061081,26339307763,post_depay
1773150605619498715,26379307763,post_depay
1773150605664879336,26419307763,post_depay
1773150605705308288,26459307763,post_depay
1773150605747590477,26499307763,post_depay
1773150605779500653,26539307763,post_depay
1773150605824768744,26579307763,post_depay
1773150605865248770,26619307763,post_depay
1773150605907212095,26659307763,post_depay
1773150605939006200,26699307763,post_depay
1773150605983421716,26739307763,post_depay
1773150606025308366,26779307763,post_depay
1773150606067324816,26819307763,post_depay
1773150606099624410,26859307763,post_depay
1773150606145082538,26899307763,post_depay
1773150606186615079,26939307763,post_depay
1773150606226949117,26979307763,post_depay
1773150606268770621,27019307763,post_depay
1773150606300555033,27059307763,post_depay
1773150606344894239,27099307763,post_depay
1773150606386352814,27139307763,post_depay
1773150606441593271,27179307763,post_depay
1773150606464959017,27219307763,post_depay
1773150606505932764,27259307763,post_depay
1773150606547954895,27299307763,post_depay
1773150606579832411,27339307763,post_depay
1773150606624955264,27379307763,post_depay
1773150606665888874,27419307763,post_depay
1773150606707880930,27459307763,post_depay
1773150606739817789,27499307763,post_depay
1773150606785258245,27539307763,post_depay
1773150606826187582,27579307763,post_depay
1773150606867870338,27619307763,post_depay
1773150606899817859,27659307763,post_depay
1773150606945129728,27699307763,post_depay
1773150606987069849,27739307763,post_depay
1773150607027902408,27779307763,post_depay
1773150607068931496,27819307763,post_depay
1773150607100520942,27859307763,post_depay
1773150607145447963,27899307763,post_depay
1773150607185928891,27939307763,post_depay
1773150607228404015,27979307763,post_depay
1773150607259923383,28019307763,post_depay
1773150607305143776,28059307763,post_depay
1773150607346475502,28099307763,post_depay
1773150607388021573,28139307763,post_depay
1773150607441822648,28179307763,post_depay
1773150607466370579,28219307763,post_depay
1773150607508631187,28259307763,post_depay
1773150607540341158,28299307763,post_depay
1773150607585593458,28340307763,post_depay
1773150607626523602,28379307763,post_depay
1773150607668618859,28420307763,post_depay
1773150607700188324,28460307763,post_depay
1773150607744798702,28500307763,post_depay
1773150607786491890,28540307763,post_depay
1773150607828525460,28580307763,post_depay
1773150607860375638,28620307763,post_depay
1773150607905863578,28660307763,post_depay
1773150607946941535,28700307763,post_depay
1773150607988677459,28740307763,post_depay
1773150608020578229,28780307763,post_depay
1773150608065742097,28820307763,post_depay
1773150608106764214,28860307763,post_depay
1773150608148726387,28900307763,post_depay
1773150608180176901,28940307763,post_depay
1773150608225521328,28980307763,post_depay
1773150608267605186,29020307763,post_depay
1773150608308345856,29060307763,post_depay
1773150608340155355,29100307763,post_depay
1773150608384871220,29140307763,post_depay
1773150608440594037,29180307763,post_depay
1773150608464428252,29220307763,post_depay
1773150608506265012,29260307763,post_depay
1773150608546563690,29300307763,post_depay
