abs_time,cam_index,frame_in,rtp_seq
1778609452.154802,2,644,33293
1778609452.158526,1,644,34801
1778609452.192953,0,645,18961
1778609452.197969,2,645,33316
1778609452.199934,1,645,34822
1778609452.232989,0,646,18983
1778609452.237617,2,646,33337
1778609452.271698,1,646,34842
1778609452.289000,1,647,34880
1778609452.307466,2,647,33359
1778609452.307597,0,647,19004
1778609452.314928,0,648,19036
1778609452.321630,2,648,33390
1778609452.329223,1,648,34909
1778609452.355689,0,649,19069
1778609452.365341,1,649,34938
1778609452.370360,2,649,33422
1778609452.385963,0,650,19105
1778609452.395685,2,650,33455
1778609452.400031,1,650,34967
1778609452.432635,0,651,19130
1778609452.437618,2,651,33477
1778609452.442700,1,651,34999
1778609452.476243,0,652,19148
1778609452.479322,2,652,33503
1778609452.483527,1,652,35023
1778609452.516082,1,653,35044
1778609452.519204,0,653,19169
1778609452.523503,2,653,33523
1778609452.545963,0,654,19190
1778609452.551754,2,654,33547
1778609452.556364,1,654,35063
1778609452.590809,0,655,19209
1778609452.597064,2,655,33570
1778609452.602339,1,655,35083
1778609452.632946,0,656,19229
1778609452.638901,2,656,33594
1778609452.642456,1,656,35168
1778609452.676636,1,657,35181
1778609452.678908,0,657,19251
1778609452.694377,2,657,33616
1778609452.711279,0,658,19336
1778609452.713859,2,658,33700
1778609452.721716,1,658,35198
1778609452.751524,0,659,19349
1778609452.756567,2,659,33715
1778609452.760412,1,659,35219
1778609452.793799,0,660,19364
1778609452.799121,2,660,33730
1778609452.801629,1,660,35242
1778609452.835058,1,661,35267
1778609452.836278,0,661,19381
1778609452.841712,2,661,33747
1778609452.873750,2,662,33769
1778609452.879185,0,662,19403
1778609452.883287,1,662,35286
1778609452.932755,0,663,19426
1778609452.938526,2,663,33791
1778609452.943125,1,663,35305
1778609452.950687,0,664,19451
1778609452.956501,2,664,33812
1778609452.962167,1,664,35328
1778609452.993809,0,665,19474
1778609452.996015,1,665,35348
1778609453.001248,2,665,33837
1778609453.033047,2,666,33855
1778609453.037913,0,666,19493
1778609453.040164,1,666,35366
1778609453.076960,0,667,19510
1778609453.079531,2,667,33878
1778609453.082492,1,667,35390
1778609453.107236,0,668,19528
1778609453.119868,2,668,33902
1778609453.123422,1,668,35416
1778609453.154552,0,669,19552
1778609453.157679,1,669,35439
1778609453.161441,2,669,33929
1778609453.192332,0,670,19581
1778609453.198451,1,670,35458
1778609453.204376,2,670,33946
1778609453.234873,2,671,33973
1778609453.239194,0,671,19601
1778609453.243275,1,671,35483
1778609453.278375,2,672,33996
1778609453.285176,1,672,35511
1778609453.300905,0,672,19622
1778609453.316501,1,673,35531
1778609453.321674,0,673,19653
1778609453.327045,2,673,34017
1778609453.357774,0,674,19689
1778609453.364344,1,674,35557
1778609453.368430,2,674,34035
1778609453.370520,2,675,34060
1778609453.385830,0,675,19716
1778609453.398484,1,675,35577
1778609453.431316,0,676,19742
1778609453.438578,2,676,34087
1778609453.443483,1,676,35596
1778609453.474602,1,677,35615
1778609453.474685,0,677,19764
1778609453.487397,2,677,34107
1778609453.514992,0,678,19795
1778609453.520226,1,678,35636
1778609453.522269,2,678,34126
1778609453.552309,2,679,34151
1778609453.554888,0,679,19812
1778609453.561081,1,679,35655
1778609453.589559,0,680,19833
1778609453.597222,2,680,34177
1778609453.603181,1,680,35674
1778609453.632338,0,681,19852
1778609453.633979,1,681,35694
1778609453.638454,2,681,34200
1778609453.696049,0,682,19870
1778609453.696179,1,682,35712
1778609453.697055,2,682,34223
1778609453.715221,2,683,34243
1778609453.719136,0,683,19889
1778609453.723135,1,683,35731
1778609453.746686,0,684,19910
1778609453.757712,2,684,34263
1778609453.765807,1,684,35750
1778609453.793114,0,685,19930
1778609453.796656,1,685,35771
1778609453.824769,2,685,34282
1778609453.833277,0,686,19950
1778609453.837885,1,686,35894
1778609453.838685,2,686,34302
1778609453.877378,2,687,34322
1778609453.891938,0,687,19970
1778609453.904186,1,687,35910
1778609453.917047,0,688,20068
1778609453.917994,2,688,34423
1778609453.923308,1,688,35925
1778609453.946320,0,689,20083
1778609453.954744,1,689,35941
1778609453.957271,2,689,34438
1778609453.992807,0,690,20100
1778609454.000812,1,690,35960
1778609454.007235,2,690,34454
1778609454.034990,2,691,34473
1778609454.043437,0,691,20117
1778609454.048798,1,691,35986
1778609454.074613,0,692,20136
1778609454.080427,2,692,34497
1778609454.089485,1,692,36015
1778609454.114112,1,693,36034
1778609454.117575,0,693,20161
1778609454.126555,2,693,34525
1778609454.150086,0,694,20187
1778609454.160925,1,694,36052
1778609454.164106,2,694,34550
1778609454.198671,0,695,20206
1778609454.224263,2,695,34572
1778609454.228480,1,695,36071
1778609454.232314,0,696,20228
1778609454.236513,2,696,34600
1778609454.276553,1,696,36097
1778609454.286369,1,697,36132
1778609454.319001,0,697,20249
1778609454.328238,0,698,20279
1778609454.334594,2,697,34619
1778609454.344237,2,698,34652
1778609454.351090,1,698,36162
1778609454.355356,0,699,20312
1778609454.358562,1,699,36181
1778609454.362213,2,699,34681
1778609454.397738,0,700,20336
1778609454.401942,1,700,36199
1778609454.408295,2,700,34703
1778609454.436370,0,701,20357
1778609454.437301,2,701,34723
1778609454.441998,1,701,36219
1778609454.478670,0,702,20376
1778609454.481553,2,702,34750
1778609454.484496,1,702,36237
1778609454.515182,0,703,20403
1778609454.515646,1,703,36263
1778609454.523472,2,703,34779
1778609454.556931,0,704,20428
1778609454.562342,2,704,34800
1778609454.563271,1,704,36289
1778609454.586772,0,705,20454
1778609454.595919,2,705,34826
1778609454.601454,1,705,36307
1778609454.634080,0,706,20484
1778609454.637581,2,706,34853
1778609454.642476,1,706,36335
1778609454.674666,0,707,20501
1778609454.678526,1,707,36365
1778609454.682476,2,707,34876
1778609454.716786,0,708,20524
1778609454.721740,2,708,34898
1778609454.723362,1,708,36389
1778609454.754083,2,709,34921
1778609454.763264,0,709,20548
1778609454.764805,1,709,36410
1778609454.788647,0,710,20566
1778609454.800377,2,710,34944
1778609454.804293,1,710,36427
1778609454.832293,0,711,20589
1778609454.835252,1,711,36447
1778609454.838509,2,711,34967
1778609454.874738,0,712,20610
1778609454.879957,1,712,36470
1778609454.883513,2,712,34991
1778609454.915530,2,713,35015
1778609454.920785,0,713,20632
1778609454.927521,1,713,36494
1778609454.959406,0,714,20653
1778609454.964194,2,714,35038
1778609454.965835,1,714,36517
1778609454.990266,0,715,20676
1778609454.995667,1,715,36536
1778609455.012052,2,715,35062
1778609455.036727,0,716,20695
1778609455.042907,2,716,35084
1778609455.043086,1,716,36631
1778609455.075494,0,717,20715
1778609455.076657,2,717,35107
1778609455.108320,1,717,36643
1778609455.114865,0,718,20809
1778609455.118236,2,718,35196
1778609455.125621,1,718,36658
1778609455.154402,1,719,36680
1778609455.157252,0,719,20824
1778609455.160650,2,719,35210
1778609455.187960,0,720,20841
1778609455.201490,1,720,36701
1778609455.204612,2,720,35228
1778609455.232512,0,721,20858
1778609455.235472,2,721,35248
1778609455.242228,1,721,36727
1778609455.279787,2,722,35267
1778609455.287390,1,722,36754
1778609455.310824,0,722,20879
1778609455.316184,1,723,36782
1778609455.322357,2,723,35292
1778609455.331237,0,723,20910
1778609455.356082,0,724,20935
1778609455.361453,1,724,36813
1778609455.363303,2,724,35317
1778609455.395449,2,725,35342
1778609455.397103,0,725,20962
1778609455.407882,1,725,36829
1778609455.444506,0,726,20985
1778609455.444898,2,726,35372
1778609455.449283,1,726,36849
1778609455.489811,1,727,36875
1778609455.495477,0,727,21001
1778609455.498428,2,727,35400
1778609455.507380,0,728,21028
1778609455.521172,1,728,36906
1778609455.522091,2,728,35421
1778609455.551835,0,729,21057
1778609455.561292,2,729,35443
1778609455.563849,1,729,36923
1778609455.593101,2,730,35462
1778609455.595536,0,730,21076
1778609455.603512,1,730,36943
1778609455.637486,0,731,21095
1778609455.641709,2,731,35486
1778609455.647451,1,731,36964
1778609455.680007,0,732,21121
1778609455.682633,2,732,35511
1778609455.683821,1,732,36984
1778609455.710893,0,733,21142
1778609455.720525,2,733,35535
1778609455.724628,1,733,37005
1778609455.752919,0,734,21164
1778609455.761657,2,734,35557
1778609455.767346,1,734,37023
1778609455.793822,2,735,35578
1778609455.797208,0,735,21184
1778609455.798009,1,735,37043
1778609455.837343,0,736,21206
1778609455.840393,2,736,35599
1778609455.842610,1,736,37062
1778609455.879580,0,737,21228
1778609455.885361,2,737,35621
1778609455.890869,1,737,37083
1778609455.908102,0,738,21246
1778609455.920124,2,738,35642
1778609455.923464,1,738,37106
1778609455.952947,0,739,21265
1778609455.959663,1,739,37127
1778609455.964948,2,739,35664
1778609455.996190,2,740,35687
1778609455.998847,0,740,21285
1778609456.003325,1,740,37148
1778609456.036548,0,741,21308
1778609456.038407,2,741,35711
1778609456.040702,1,741,37168
1778609456.078618,0,742,21329
1778609456.080474,2,742,35735
1778609456.084000,1,742,37187
1778609456.106695,0,743,21351
1778609456.123380,2,743,35758
1778609456.126261,1,743,37209
1778609456.129594,1,744,37227
1778609456.153284,0,744,21372
1778609456.153433,2,744,35781
1778609456.195853,0,745,21394
1778609456.199421,2,745,35803
1778609456.206583,1,745,37251
1778609456.236686,0,746,21414
1778609456.239249,2,746,35825
1778609456.283134,1,746,37361
1778609456.285508,1,747,37379
1778609456.308848,0,747,21436
1778609456.330416,2,747,35849
1778609456.351149,0,748,21552
1778609456.352638,1,748,37400
1778609456.353253,2,748,35953
1778609456.362309,2,749,35968
1778609456.365614,0,749,21568
1778609456.367670,1,749,37424
1778609456.397047,0,750,21584
1778609456.397546,2,750,35986
1778609456.401889,1,750,37452
